#,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR
14,Jeff McNeil,NYM,133,567,23,83,75,5,6.20%,13.20%,0.214,0.337,0.318,0.384,0.531,0.384,0.35,144,-2.8,30.3,0.4,4.7
15,Joey Gallo,TEX,70,297,22,54,49,4,17.50%,38.40%,0.344,0.368,0.253,0.389,0.598,0.401,0.395,144,0.9,17.7,0.8,2.8
16,Pete Alonso,NYM,161,693,53,103,120,1,10.40%,26.40%,0.323,0.28,0.26,0.358,0.583,0.384,0.38,144,0.6,40.7,-14.5,4.7
17,Austin Meadows,TBR,138,591,33,83,89,12,9.10%,22.20%,0.268,0.331,0.291,0.364,0.558,0.38,0.375,144,-1.6,31.6,-9.5,4.2
18,Juan Soto,WSN,150,659,34,110,110,12,16.40%,20.00%,0.266,0.312,0.282,0.401,0.548,0.394,0.409,143,0.3,37.3,-1.5,5.5
19,Carlos Correa,HOU,75,321,21,42,59,1,10.90%,23.40%,0.289,0.303,0.279,0.358,0.568,0.38,0.392,142,-0.1,17,11,3.8
20,Aaron Judge,NYY,102,447,27,75,55,3,14.30%,31.50%,0.267,0.36,0.272,0.381,0.54,0.382,0.402,141,-0.5,22.9,3.7,4.2
21,Jordan Luplow,CLE,85,261,15,42,38,3,12.60%,23.40%,0.276,0.313,0.276,0.372,0.551,0.383,0.352,141,0.1,13.8,1.1,2.4
22,Xander Bogaerts,BOS,155,698,33,110,117,4,10.90%,17.50%,0.246,0.338,0.309,0.384,0.555,0.39,0.356,141,0.3,36.7,-0.4,6
23,Anthony Rizzo,CHC,146,613,27,89,94,5,11.60%,14.00%,0.227,0.306,0.293,0.405,0.52,0.39,0.388,140,-6.6,26,-8.4,3.6
24,Yoán Moncada,CHW,132,559,25,83,79,10,7.20%,27.50%,0.233,0.406,0.315,0.367,0.548,0.379,0.358,139,0,28,4.9,5.2
25,Keston Hiura,MIL,84,348,19,51,49,9,7.20%,30.70%,0.268,0.402,0.303,0.368,0.57,0.388,0.352,139,-1.2,16.6,-4.8,2.2
26,J.D. Martinez,BOS,146,657,36,98,105,2,11.00%,21.00%,0.252,0.342,0.304,0.383,0.557,0.386,0.4,139,-1.2,31.2,-15,3.9
27,Carlos Santana,CLE,158,686,34,110,93,4,15.70%,15.70%,0.234,0.293,0.281,0.397,0.515,0.38,0.367,138,1,34.7,-10.5,4.8
28,Miguel Sanó,MIN,105,439,34,76,79,0,12.50%,36.20%,0.329,0.319,0.247,0.346,0.576,0.378,0.368,138,-3.1,18.1,-5.8,2.7
29,Marcus Semien,OAK,162,747,33,123,92,10,11.60%,13.70%,0.237,0.294,0.285,0.369,0.522,0.373,0.363,138,-0.1,35.9,3.9,6.5
30,Freddie Freeman,ATL,158,692,38,113,121,6,12.60%,18.40%,0.255,0.318,0.295,0.389,0.549,0.387,0.397,137,-0.3,33.9,-10.9,4.4
31,Jose Altuve,HOU,124,548,31,89,74,6,7.50%,15.00%,0.252,0.303,0.298,0.353,0.55,0.374,0.344,137,-0.5,25.5,5.8,5
32,J.D. Davis,NYM,140,453,22,65,57,3,8.40%,21.40%,0.22,0.355,0.307,0.369,0.527,0.373,0.383,137,-1.3,20.7,-9.5,2.5
33,DJ LeMahieu,NYY,145,655,26,109,102,5,7.00%,13.70%,0.191,0.349,0.327,0.375,0.518,0.375,0.378,136,-1.4,28.8,6.7,5.7
34,Jorge Soler,KCR,162,679,48,95,117,3,10.80%,26.20%,0.304,0.294,0.265,0.354,0.569,0.378,0.396,136,-2,29.1,-17.5,3.5
35,Josh Bell,PIT,143,613,37,94,116,0,12.10%,19.20%,0.292,0.288,0.277,0.367,0.569,0.378,0.386,135,-3.8,24.4,-12.6,3
36,Mookie Betts,BOS,150,706,29,135,80,16,13.70%,14.30%,0.229,0.309,0.295,0.391,0.524,0.38,0.411,135,3.2,34.5,0.8,5.9
37,Matt Olson,OAK,127,547,36,73,91,0,9.30%,25.20%,0.277,0.3,0.267,0.351,0.545,0.368,0.388,135,-2.6,21.6,-2.2,3.8
38,Kris Bryant,CHC,147,634,31,108,77,4,11.70%,22.90%,0.239,0.331,0.282,0.382,0.521,0.379,0.349,134,0.8,28.9,-3.9,4.4
39,Max Muncy,LAD,141,589,35,101,98,4,15.30%,25.30%,0.265,0.283,0.251,0.374,0.515,0.372,0.38,133,0.2,25.7,0.5,4.4
40,Michael Brantley,HOU,148,637,22,88,90,3,8.00%,10.40%,0.191,0.32,0.311,0.372,0.503,0.367,0.357,132,0.1,26.5,-10,3.8
41,Rafael Devers,BOS,156,702,32,129,115,8,6.80%,17.00%,0.244,0.339,0.311,0.361,0.555,0.377,0.367,132,-1.7,27.3,13.7,6.5
42,Trey Mancini,BAL,154,679,35,106,97,1,9.30%,21.10%,0.244,0.326,0.291,0.364,0.535,0.373,0.362,132,-1.8,26.2,-14.8,3.5
43,Gio Urshela,NYY,132,476,21,73,74,1,5.30%,18.30%,0.219,0.349,0.314,0.355,0.534,0.369,0.348,132,-0.2,19.4,-4.6,3.1
44,Justin Turner,LAD,135,549,27,80,67,2,9.30%,16.00%,0.219,0.304,0.29,0.372,0.509,0.37,0.377,131,-3.4,19.1,3.5,3.9
45,Josh Donaldson,ATL,155,659,37,96,94,4,15.20%,23.50%,0.262,0.292,0.259,0.379,0.521,0.377,0.385,131,-1.8,25.1,7.6,5.2
46,Yuli Gurriel,HOU,144,612,31,85,104,5,6.00%,10.60%,0.243,0.289,0.298,0.343,0.541,0.364,0.321,131,-1,23,-3.9,4
47,Eugenio Suárez,CIN,159,662,49,87,103,3,10.60%,28.50%,0.301,0.312,0.271,0.358,0.572,0.381,0.355,130,-4,22.6,1,4.3
48,Bryan Reynolds,PIT,134,546,16,83,68,3,8.40%,22.20%,0.189,0.387,0.314,0.377,0.503,0.371,0.359,130,-0.8,20.8,-0.3,3.7
49,Edwin Encarnación,2 Tms,109,486,34,81,86,0,11.90%,21.20%,0.287,0.239,0.244,0.344,0.531,0.362,0.365,130,-1.6,16.9,-10.7,2.3
50,Nolan Arenado,COL,155,662,41,102,118,3,9.40%,14.00%,0.269,0.312,0.315,0.379,0.583,0.392,0.343,130,-1,24.7,17.2,6.1
51,Mike Tauchman,NYY,87,296,13,46,47,6,11.50%,24.00%,0.227,0.333,0.277,0.361,0.504,0.364,0.322,128,2.5,13.3,7.6,3.1
52,Tim Anderson,CHW,123,518,18,81,56,17,2.90%,21.00%,0.173,0.399,0.335,0.357,0.508,0.363,0.321,128,2,20.7,6.9,4.5
53,Hunter Pence,TEX,83,316,18,53,59,6,8.20%,21.80%,0.255,0.333,0.297,0.358,0.552,0.377,0.364,128,2.8,14.1,-9.7,1.5
54,Cameron Maybin,NYY,82,269,11,48,32,9,11.20%,26.80%,0.209,0.365,0.285,0.364,0.494,0.362,0.339,128,-0.2,9.3,-1.4,1.7
55,Michael Conforto,NYM,151,648,33,90,92,7,13.00%,23.00%,0.237,0.29,0.257,0.363,0.494,0.358,0.371,127,1.4,24.5,-2.2,4.2
56,Brandon Lowe,TBR,82,327,17,42,51,5,7.60%,34.60%,0.243,0.377,0.27,0.336,0.514,0.354,0.34,127,1.4,12.6,-4.5,1.9
57,Charlie Blackmon,COL,140,634,32,112,86,2,6.30%,16.40%,0.262,0.334,0.314,0.364,0.576,0.387,0.367,127,-2.6,19.7,-18.9,2
58,Ramón Laureano,OAK,123,481,24,79,67,13,5.60%,25.60%,0.233,0.342,0.288,0.34,0.521,0.356,0.342,127,3.9,20.3,1.3,3.8
59,Tom Murphy,SEA,76,281,18,32,40,2,6.80%,31.00%,0.262,0.34,0.273,0.324,0.535,0.355,0.299,126,0.9,10.3,11.3,3.1
60,Corey Dickerson,2 Tms,78,279,12,33,59,1,5.70%,20.10%,0.262,0.344,0.304,0.341,0.565,0.367,0.322,126,-0.4,9.2,-4.7,1.3
61,Willson Contreras,CHC,105,409,24,57,64,1,9.30%,24.90%,0.261,0.314,0.272,0.355,0.533,0.368,0.347,126,-0.6,13.4,-1.5,2.4
62,Luke Voit,NYY,118,510,21,72,62,0,13.90%,27.80%,0.2,0.345,0.263,0.378,0.464,0.36,0.368,126,-4.4,12.5,-16.2,1.4
63,Joc Pederson,LAD,149,514,36,83,74,1,9.70%,21.60%,0.289,0.249,0.249,0.339,0.538,0.362,0.347,126,0.1,17.6,-5.3,2.8
64,Luis Arraez,MIN,92,366,4,54,28,2,9.80%,7.90%,0.104,0.355,0.334,0.399,0.439,0.36,0.334,126,1.8,13.7,-8.8,1.8
65,Ronald Acuña Jr.,ATL,156,715,41,127,101,37,10.60%,26.30%,0.238,0.337,0.28,0.365,0.518,0.369,0.39,125,6.4,30.4,-3.4,4.8
66,Matt Chapman,OAK,156,670,36,102,91,1,10.90%,21.90%,0.257,0.27,0.249,0.342,0.506,0.354,0.359,125,-1.4,20.3,11.7,5.5
67,Gleyber Torres,NYY,144,604,38,96,90,5,7.90%,21.40%,0.256,0.296,0.278,0.337,0.535,0.358,0.34,125,-0.7,18.6,-5.6,3.4
68,Lourdes Gurriel Jr.,TOR,84,343,20,52,50,6,5.80%,25.10%,0.264,0.318,0.277,0.327,0.541,0.358,0.34,125,-0.9,10.1,-4.6,1.7
69,Bryce Harper,PHI,157,682,35,98,114,15,14.50%,26.10%,0.25,0.313,0.26,0.372,0.51,0.365,0.387,124,-1.5,20.3,-2.2,3.9
70,Tommy Edman,STL,92,349,11,59,36,15,4.60%,17.50%,0.196,0.346,0.304,0.35,0.5,0.357,0.331,124,6.1,17,8.8,3.6
71,Hunter Dozier,KCR,139,586,26,75,84,2,9.40%,25.30%,0.243,0.339,0.279,0.348,0.522,0.36,0.338,123,2.1,19.6,-8.3,3.2
72,Tommy Pham,TBR,145,654,21,77,68,25,12.40%,18.80%,0.176,0.316,0.273,0.369,0.45,0.349,0.354,123,2.8,22.1,-10.7,3.4
73,Ji Man Choi,TBR,127,487,19,54,63,2,13.10%,22.20%,0.198,0.303,0.261,0.363,0.459,0.348,0.365,122,-3.2,10.8,-12.8,1.5
74,Trevor Story,COL,145,656,35,111,85,23,8.80%,26.50%,0.26,0.361,0.294,0.363,0.554,0.38,0.341,122,2.3,21.5,19.7,6
75,Max Kepler,MIN,134,596,36,98,90,1,10.10%,16.60%,0.267,0.244,0.252,0.336,0.519,0.355,0.343,122,-0.8,15.8,2.3,3.9
76,Nick Castellanos,2 Tms,151,664,27,100,73,2,6.20%,21.50%,0.236,0.337,0.289,0.337,0.525,0.357,0.363,122,-1.7,17.1,-16.2,2.3
77,Yasmani Grandal,MIL,153,632,28,79,77,5,17.20%,22.00%,0.222,0.279,0.246,0.38,0.468,0.361,0.366,121,-3,14.7,24.2,5.7
78,Mike Yastrzemski,SFG,107,411,21,64,55,2,7.80%,26.00%,0.245,0.325,0.272,0.334,0.518,0.353,0.342,120,0.5,11.5,0.7,2.5
79,Jorge Polanco,MIN,153,704,22,107,79,4,8.50%,16.50%,0.19,0.328,0.295,0.356,0.485,0.352,0.341,120,2.1,20.2,-11.6,3.3
80,Shohei Ohtani,LAA,106,425,18,51,62,12,7.80%,25.90%,0.219,0.354,0.286,0.343,0.505,0.352,0.35,120,0.7,11.4,-9.9,1.6
81,Andrew McCutchen,PHI,59,262,10,45,29,2,16.40%,21.00%,0.201,0.299,0.256,0.378,0.457,0.358,0.357,120,-0.9,5.9,-2.9,1.1
82,Omar Narváez,SEA,132,482,22,63,55,0,9.80%,19.10%,0.182,0.306,0.278,0.353,0.46,0.345,0.33,120,-3.4,8.6,-13.8,1.2
83,Wilmer Flores,ARI,89,285,9,31,37,0,5.30%,10.90%,0.17,0.332,0.317,0.361,0.487,0.358,0.331,120,-2.1,5.3,0.7,1.5
84,Tommy La Stella,LAA,80,321,16,49,44,0,6.20%,8.70%,0.192,0.282,0.295,0.346,0.486,0.351,0.355,119,-0.1,7.7,-1,1.8
85,Kyle Schwarber,CHC,155,610,38,82,92,2,11.50%,25.60%,0.282,0.276,0.25,0.339,0.531,0.357,0.376,119,-2.2,12.9,-10.9,2.1
86,Starling Marte,PIT,132,586,23,97,82,25,4.30%,16.00%,0.208,0.319,0.295,0.342,0.503,0.353,0.362,118,3.7,17.7,1.2,3.7
87,Yandy Díaz,TBR,79,347,14,53,38,2,10.10%,17.60%,0.208,0.288,0.267,0.34,0.476,0.341,0.355,118,-1.9,6.1,-3.4,1.5
88,Francisco Lindor,CLE,143,654,32,101,74,22,7.00%,15.00%,0.234,0.291,0.284,0.335,0.518,0.349,0.333,118,0.5,15.5,23.2,6.1
89,Trea Turner,WSN,122,569,19,96,57,35,7.60%,19.90%,0.2,0.348,0.298,0.353,0.497,0.356,0.339,118,7.2,20.3,6.6,4.4
90,Ryan Braun,MIL,144,508,22,70,75,11,6.70%,20.70%,0.22,0.325,0.285,0.343,0.505,0.354,0.339,117,2.1,13.3,-8.2,2.1
91,Paul Goldschmidt,STL,161,682,34,97,97,3,11.40%,24.30%,0.216,0.303,0.26,0.346,0.476,0.346,0.359,117,-0.3,14.6,-5.4,3
92,Eric Thames,MIL,149,459,25,67,61,3,11.10%,30.50%,0.258,0.313,0.247,0.346,0.505,0.354,0.324,116,0.9,10.8,-1.6,2.3
93,Gary Sánchez,NYY,106,446,34,62,77,0,9.00%,28.00%,0.293,0.244,0.232,0.316,0.525,0.346,0.373,116,-3.2,6.2,-1,2.1
94,Ozzie Albies,ATL,160,702,24,102,86,15,7.70%,16.00%,0.205,0.325,0.295,0.352,0.5,0.354,0.346,116,5.7,20.1,0.8,4.2
95,Eric Sogard,2 Tms,110,442,13,59,40,8,8.60%,14.30%,0.167,0.316,0.29,0.353,0.457,0.342,0.31,115,1.7,10.4,5,3.1
96,José Abreu,CHW,159,693,33,85,123,2,5.20%,21.90%,0.219,0.32,0.284,0.33,0.503,0.344,0.358,115,-2.9,10.8,-16.6,1.9
97,Brett Gardner,NYY,141,550,28,86,74,10,9.50%,19.60%,0.253,0.265,0.251,0.325,0.503,0.344,0.299,115,5.3,16.1,-1.4,3.4
98,Eloy Jiménez,CHW,122,504,31,69,79,0,6.00%,26.60%,0.246,0.308,0.267,0.315,0.513,0.343,0.347,115,-0.6,8.9,-16,1.1
99,Brandon Nimmo,NYM,69,254,8,34,29,3,18.10%,28.00%,0.186,0.293,0.221,0.375,0.407,0.34,0.331,115,0.9,5.9,-0.1,1.3
100,Cavan Biggio,TOR,100,430,16,66,48,14,16.50%,28.60%,0.195,0.309,0.234,0.364,0.429,0.343,0.346,115,2.8,10.9,0.7,2.6
101,Brian Anderson,MIA,126,520,20,57,66,5,8.50%,21.90%,0.207,0.305,0.261,0.342,0.468,0.342,0.34,114,0.6,10.5,0.4,2.7
102,Austin Nola,SEA,79,267,10,37,31,1,8.60%,23.60%,0.185,0.325,0.269,0.342,0.454,0.337,0.296,114,0.6,5.4,-4.1,1.1
103,Avisaíl García,TBR,125,530,20,61,72,10,5.80%,23.60%,0.182,0.34,0.282,0.332,0.464,0.334,0.343,113,-2.3,6.6,-5.8,1.9
104,Mike Moustakas,MIL,143,584,35,80,87,3,9.10%,16.80%,0.262,0.25,0.254,0.329,0.516,0.348,0.35,113,-2.6,7.4,2.2,2.7
105,Alex Verdugo,LAD,106,377,12,43,44,4,6.90%,13.00%,0.181,0.309,0.294,0.342,0.475,0.341,0.339,112,0.9,7.1,2.6,2.1
106,Javier Báez,CHC,138,561,29,89,85,11,5.00%,27.80%,0.25,0.345,0.281,0.316,0.531,0.347,0.332,112,1.4,10.5,29,5.6
107,Mitch Moreland,BOS,91,335,19,48,58,1,10.10%,22.10%,0.255,0.271,0.252,0.328,0.507,0.347,0.352,112,-1,4.2,-7.3,0.9
108,Rhys Hoskins,PHI,160,705,29,86,85,2,16.50%,24.50%,0.228,0.267,0.226,0.364,0.454,0.347,0.337,112,-1,10.2,-9.8,2.2
109,Shin-Soo Choo,TEX,151,660,24,93,61,15,11.80%,25.00%,0.19,0.333,0.265,0.371,0.455,0.353,0.362,112,3,13.1,-22.4,1.4
110,Byron Buxton,MIN,87,295,10,48,46,14,6.40%,23.10%,0.251,0.314,0.262,0.314,0.513,0.34,0.305,112,3.4,7.8,13.4,3.1
111,Robinson Chirinos,HOU,114,437,17,57,58,1,11.70%,28.60%,0.205,0.306,0.238,0.347,0.443,0.336,0.316,112,-2.4,4.2,6,2.5
112,Corey Seager,LAD,134,541,19,82,87,1,8.10%,18.10%,0.211,0.303,0.272,0.335,0.483,0.34,0.331,112,3,11.4,8.1,3.6
113,Daniel Vogelbach,SEA,144,558,30,73,76,0,16.50%,26.70%,0.232,0.232,0.208,0.341,0.439,0.333,0.345,112,-1.7,6.5,-16.1,1
114,David Dahl,COL,100,413,15,67,61,4,6.80%,26.60%,0.222,0.386,0.302,0.353,0.524,0.364,0.341,111,-0.3,5.9,-2.2,1.6
115,Christian Walker,ARI,152,603,29,86,73,8,11.10%,25.70%,0.217,0.312,0.259,0.348,0.476,0.346,0.364,111,0.6,9.4,2.7,3
116,Jesse Winker,CIN,113,384,16,51,38,0,9.90%,15.60%,0.204,0.286,0.269,0.357,0.473,0.351,0.346,111,-2.5,3.1,-7,0.8
117,Danny Santana,TEX,130,511,28,81,81,21,4.90%,29.50%,0.251,0.353,0.283,0.324,0.534,0.352,0.345,111,4.7,11.8,-4.5,2.5
118,Franmil Reyes,2 Tms,150,548,37,69,81,0,8.60%,28.50%,0.263,0.279,0.249,0.31,0.512,0.338,0.359,111,-2.4,5.4,-12,1.1
119,Garrett Cooper,MIA,107,421,15,52,50,0,7.80%,26.10%,0.165,0.357,0.281,0.344,0.446,0.337,0.345,111,-1.2,4.7,-3.7,1.4
120,Kyle Seager,SEA,106,443,23,55,63,2,9.90%,19.40%,0.229,0.248,0.239,0.321,0.468,0.332,0.35,111,0.5,6.5,2.7,2.4
121,Willie Calhoun,TEX,83,337,21,51,48,0,6.80%,15.70%,0.256,0.262,0.269,0.323,0.524,0.351,0.323,110,-2.8,1.7,-11.1,0.3
122,Whit Merrifield,KCR,162,735,16,105,74,20,6.10%,17.10%,0.16,0.35,0.302,0.348,0.463,0.34,0.325,110,2.3,11.6,-4.1,3.3
123,Marcell Ozuna,STL,130,549,29,80,89,12,11.30%,20.80%,0.231,0.257,0.241,0.328,0.472,0.336,0.375,110,3.3,10.4,-6.1,2.1
124,Pablo Sandoval,SFG,108,296,14,42,41,1,6.10%,22.60%,0.239,0.304,0.268,0.313,0.507,0.336,0.335,110,-1.1,2.6,-1.9,1
125,Kevin Newman,PIT,130,531,12,61,64,16,5.30%,11.70%,0.138,0.333,0.308,0.353,0.446,0.339,0.303,109,0.4,6.9,-1.5,2.2
126,Manny Machado,SDP,156,661,32,81,85,5,9.80%,19.40%,0.206,0.274,0.256,0.334,0.462,0.335,0.343,109,0.6,8.6,-3.7,2.5
127,Kolten Wong,STL,148,549,11,61,59,24,8.60%,15.10%,0.138,0.321,0.285,0.361,0.423,0.334,0.297,109,5.3,11.7,4.3,3.3
128,Adam Eaton,WSN,151,656,15,103,49,15,9.90%,16.20%,0.148,0.319,0.279,0.365,0.428,0.342,0.328,108,3.7,10.8,-10.9,2
129,Eduardo Escobar,ARI,158,699,35,94,118,5,7.20%,18.60%,0.242,0.283,0.269,0.32,0.511,0.341,0.326,108,0.5,8,-2.2,2.7
130,José Ramírez,CLE,129,542,23,68,83,24,9.60%,13.70%,0.224,0.256,0.255,0.327,0.479,0.334,0.342,108,6,11.4,4.8,3.5
131,James McCann,CHW,118,476,18,62,60,4,6.30%,28.80%,0.187,0.359,0.273,0.328,0.46,0.333,0.323,108,-0.1,4.5,-1.6,2
132,J.T. Realmuto,PHI,145,593,25,92,83,9,6.90%,20.70%,0.217,0.309,0.275,0.328,0.493,0.34,0.341,107,5.3,11.1,31,5.9
133,Domingo Santana,SEA,121,507,21,63,69,8,9.90%,32.30%,0.188,0.347,0.253,0.329,0.441,0.326,0.342,107,-0.8,3.8,-20.7,0.1
134,Todd Frazier,NYM,133,499,21,63,67,1,8.00%,21.20%,0.192,0.284,0.251,0.329,0.443,0.328,0.312,107,-3.4,1.3,1,1.8
135,Carson Kelly,ARI,111,365,18,46,47,0,13.20%,21.60%,0.232,0.271,0.245,0.348,0.478,0.339,0.34,107,-0.8,2.6,9.4,2.3
136,Jonathan Villar,BAL,162,714,24,111,73,40,8.50%,24.60%,0.179,0.341,0.274,0.339,0.453,0.335,0.315,107,7.5,13.8,-4.2,3.4
137,AJ Pollock,LAD,86,342,15,49,47,5,6.70%,21.60%,0.201,0.3,0.266,0.327,0.468,0.333,0.329,107,0.8,3.8,-9.5,0.5
138,Mitch Haniger,SEA,63,283,15,46,32,4,10.60%,28.60%,0.244,0.257,0.22,0.314,0.463,0.326,0.328,107,0.3,2.7,-0.3,1.2
139,Wilson Ramos,NYM,141,524,14,52,73,1,8.40%,13.20%,0.129,0.31,0.288,0.351,0.416,0.327,0.314,106,-3.1,1.3,-5.9,1.2
140,Victor Caratini,CHC,95,279,11,31,34,1,10.40%,21.10%,0.18,0.305,0.266,0.348,0.447,0.338,0.344,106,-1.3,1,2.4,1.2
141,Stephen Vogt,SFG,99,280,10,30,40,3,7.10%,23.60%,0.227,0.311,0.263,0.314,0.49,0.331,0.33,106,-0.3,2,-3,0.8
142,Brian Goodwin,LAA,136,458,17,65,47,7,8.30%,28.20%,0.208,0.337,0.262,0.326,0.47,0.332,0.303,106,0.4,4,-1.5,1.9
143,David Peralta,ARI,99,423,12,48,57,0,8.30%,20.60%,0.186,0.327,0.275,0.343,0.461,0.338,0.304,106,0.1,3.4,-0.6,1.6
144,Chris Taylor,LAD,124,414,12,52,52,8,8.90%,27.80%,0.199,0.344,0.262,0.333,0.462,0.331,0.299,106,4.6,7.6,1.3,2.1
145,Vladimir Guerrero Jr.,TOR,123,514,15,52,69,0,8.90%,17.70%,0.162,0.308,0.272,0.339,0.433,0.329,0.333,106,-2.3,1.3,-16.8,0.3
146,Kurt Suzuki,WSN,85,309,17,37,63,0,6.50%,11.70%,0.221,0.248,0.264,0.324,0.486,0.337,0.338,105,-1,1.1,-5.6,0.5
147,Tyler Naquin,CLE,89,294,10,34,34,4,4.80%,22.40%,0.179,0.345,0.288,0.325,0.467,0.33,0.327,105,1,2.9,1.1,1.4
148,David Bote,CHC,127,356,11,47,41,5,12.40%,26.10%,0.165,0.333,0.257,0.362,0.422,0.336,0.316,105,1.8,4.1,1.9,1.7
149,Kole Calhoun,LAA,152,632,33,92,74,4,11.10%,25.60%,0.236,0.265,0.232,0.325,0.467,0.33,0.339,105,0.6,4.3,-5.4,2.1
150,Jon Berti,MIA,73,287,6,52,24,17,8.40%,25.40%,0.133,0.36,0.273,0.348,0.406,0.326,0.316,104,5.2,6.8,0.8,1.6
151,Eddie Rosario,MIN,137,590,32,91,109,3,3.70%,14.60%,0.224,0.273,0.276,0.3,0.5,0.329,0.327,104,0,3,-12.1,1.2
152,Dexter Fowler,STL,150,574,19,69,67,8,12.90%,24.70%,0.17,0.294,0.238,0.346,0.409,0.326,0.34,103,-2.2,0.4,-13.9,0.5
153,Jason Castro,MIN,79,275,13,39,30,0,12.00%,32.00%,0.203,0.307,0.232,0.332,0.435,0.328,0.363,103,-2.6,-1.4,3,1.1
154,Brock Holt,BOS,87,295,3,38,31,1,9.50%,19.30%,0.104,0.365,0.297,0.369,0.402,0.333,0.301,103,-2,-1.1,3.1,1.2
155,Teoscar Hernández,TOR,125,464,26,58,65,6,9.70%,33.00%,0.242,0.293,0.23,0.306,0.472,0.325,0.312,103,0.6,2.1,-5.2,1.3
156,Aaron Hicks,NYY,59,255,12,41,36,1,12.20%,28.20%,0.208,0.286,0.235,0.325,0.443,0.325,0.296,103,-1.3,-0.5,-3,0.6
157,Roberto Pérez,CLE,119,449,24,46,63,0,10.00%,28.30%,0.213,0.285,0.239,0.321,0.452,0.326,0.321,102,-2.4,-1.3,26.7,4
158,Justin Smoak,TOR,121,500,22,54,61,0,15.80%,21.20%,0.198,0.223,0.208,0.342,0.406,0.323,0.368,102,-4.4,-3.4,-9.7,0.5
159,José Martínez,STL,128,373,10,45,42,3,9.40%,22.00%,0.141,0.328,0.269,0.34,0.41,0.323,0.348,102,-1,-0.3,-11.9,0
160,Christian Vázquez,BOS,138,521,23,66,72,4,6.30%,19.40%,0.201,0.305,0.276,0.32,0.477,0.331,0.313,102,-3.5,-2.5,19.3,3.5
161,C.J. Cron,MIN,125,499,25,51,78,0,5.80%,21.40%,0.216,0.277,0.253,0.311,0.469,0.325,0.366,101,-3.1,-2.2,-3,1.2
162,Nick Markakis,ATL,116,469,9,61,62,2,10.00%,12.60%,0.135,0.31,0.285,0.356,0.42,0.332,0.35,101,-1.4,-0.5,-8.3,0.6
163,Victor Reyes,DET,69,292,3,29,25,9,4.80%,21.90%,0.127,0.384,0.304,0.336,0.431,0.325,0.29,101,1.8,2.3,3.9,1.6
164,Jonathan Schoop,MIN,121,464,23,61,59,1,4.30%,25.00%,0.217,0.298,0.256,0.304,0.473,0.324,0.314,101,-0.7,-0.1,4.8,2.1
165,Paul DeJong,STL,159,664,30,97,78,9,9.30%,22.40%,0.211,0.259,0.233,0.318,0.444,0.322,0.331,101,-0.1,0.6,13,3.4
166,Matt Beaty,LAD,99,268,9,36,46,5,6.30%,12.30%,0.193,0.275,0.265,0.317,0.458,0.324,0.319,101,1.6,1.9,-5.5,0.5
