#,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR
1,Mike Trout,LAA,134,600,45,110,104,11,18.30%,20.00%,0.353,0.298,0.291,0.438,0.645,0.436,0.46,177,2.6,61.3,-3,7.8
2,Yordan Alvarez,HOU,87,369,27,58,78,0,14.10%,25.50%,0.342,0.366,0.313,0.412,0.655,0.432,0.408,177,-1,35.1,-9.3,3.8
3,Christian Yelich,MIL,130,580,44,100,97,30,13.80%,20.30%,0.342,0.355,0.329,0.429,0.671,0.442,0.429,174,7.2,63.9,-14.8,6.6
4,Alex Bregman,HOU,156,690,41,122,112,5,17.20%,12.00%,0.296,0.281,0.296,0.423,0.592,0.418,0.373,167,-1.1,58.2,2.5,8.3
5,Nelson Cruz,MIN,120,521,41,81,108,0,10.70%,25.10%,0.328,0.351,0.311,0.392,0.639,0.417,0.415,164,-2.4,40.2,-12.3,4.5
6,Cody Bellinger,LAD,156,660,47,121,115,15,14.40%,16.40%,0.324,0.302,0.305,0.406,0.629,0.415,0.43,161,1.5,54.2,5.5,7.9
7,Mitch Garver,MIN,93,359,31,70,67,0,11.40%,24.20%,0.357,0.277,0.273,0.365,0.63,0.404,0.382,155,-1.3,24.1,3.4,3.9
8,George Springer,HOU,122,556,39,96,96,6,12.10%,20.30%,0.299,0.305,0.292,0.383,0.591,0.4,0.4,155,2.2,41.4,1.2,6.1
9,Anthony Rendon,WSN,146,646,34,117,126,5,12.40%,13.30%,0.279,0.323,0.319,0.412,0.598,0.413,0.414,155,-0.8,45.9,3.2,6.8
10,Fernando Tatis Jr.,SDP,84,372,22,61,53,16,8.10%,29.60%,0.272,0.41,0.317,0.379,0.59,0.398,0.347,151,2.3,27.1,-8.4,3
11,Ketel Marte,ARI,144,628,32,97,92,10,8.40%,13.70%,0.264,0.342,0.329,0.389,0.592,0.405,0.375,150,3.8,45.1,0.1,6.3
12,Howie Kendrick,WSN,121,370,17,61,62,2,7.30%,13.20%,0.228,0.359,0.344,0.395,0.572,0.4,0.418,147,-1.3,21.4,-4.9,2.7
13,Mark Canha,OAK,126,497,26,80,58,3,13.50%,21.50%,0.244,0.308,0.273,0.396,0.517,0.386,0.362,146,-0.3,29.2,-6.1,4
