"last_name, first_name","player_id","year","k_percent","bb_percent","batting_avg","isolated_power","exit_velocity_avg","launch_angle_avg","hard_hit_percent","whiff_percent","swing_percent","pull_percent","opposite_percent","groundballs_percent","flyballs_percent"
"O'Hearn, Ryan","656811","2024",14,9.3,".264","0.163","89.6","12",40.1,18.1,46.7,36.1,27.6,40.8,27.1
"Rivera, Emmanuel","656896","2024",22.8,8.6,".238","0.105","89.7","8.7",44.1,28.3,48.6,29.7,25.7,52,22.8
"Schwarber, Kyle","656941","2024",28.5,15.3,".248","0.237","93.6","15",55.5,32,39.9,48.4,16.4,40.9,28.6
"Thomas, Lane","657041","2024",25.9,8.3,".237","0.163","88.8","17",40.6,23.3,43.8,40,22.9,39.1,26.8
"Verdugo, Alex","657077","2024",15,7.9,".233","0.123","88.3","9.9",34.9,15.5,44.7,34.9,29.5,49.6,23
"Wong, Connor","657136","2024",23.4,5.7,".280","0.145","86.5","12.9",34.5,28.8,51.6,40.2,26.2,44.3,24.1
"DeJong, Paul","657557","2024",32.4,4.8,".227","0.200","87.8","20",41.5,34.9,58,42.9,22.8,32,33.3
"Laureano, Ramón","657656","2024",31.1,4.9,".259","0.178","89.2","13.3",40.8,31.8,52.3,43.5,25.1,38.7,30.4
"Sheets, Gavin","657757","2024",21.2,8.6,".233","0.124","87.8","13.5",35.3,23,46.2,39.1,26.7,37.1,23
"Ohtani, Shohei","660271","2024",22.2,11.1,".310","0.336","95.8","16.2",60.1,29.8,47.3,43.6,23.8,36.3,31.3
"Bruján, Vidal","660644","2024",19.4,9,".222","0.097","85.1","8",22.6,24.4,52,38.5,25.6,52.3,19
"Ruiz, Keibert","660688","2024",11.1,3.3,".229","0.130","85.4","19.8",25.6,12.1,52.3,48.5,14.1,35.1,29.8
"Sánchez, Jesús","660821","2024",26.1,7.6,".252","0.165","92.5","7.7",51.3,31.2,53.2,31.8,28.7,50.3,21.6
"Contreras, William","661388","2024",20.5,11.5,".281","0.185","92.8","6.1",49.5,27.8,47.4,36.6,24.2,54,19.4
"Varsho, Daulton","662139","2024",26.7,9.4,".214","0.193","86.1","24.4",34,27,47.6,47.5,23.5,33,30.6
"Perkins, Blake","663368","2024",24.9,9.7,".240","0.092","88.8","12",37.7,27.1,42.4,32.4,26.7,47.3,26.3
"Nootbaar, Lars","663457","2024",19.5,12.8,".244","0.173","91.8","6",49.5,19,37.2,34.8,23.1,51.6,19
"Nevin, Tyler","663527","2024",23,9,".204","0.127","89.8","10.7",40.8,25.6,47.3,28.3,33.7,43.5,30.4
"Hoerner, Nico","663538","2024",10.3,6.9,".273","0.100","85.7","10.4",27.6,11.9,48.4,33.3,29.3,43.9,19.5
"Riley, Austin","663586","2024",25.2,7.9,".256","0.205","93.3","15.9",53.4,27.5,50.1,35.9,26.5,36.2,31.1
"Larnach, Trevor","663616","2024",22.3,10,".259","0.175","92","12.4",45.1,27.9,44.1,42.5,23.9,44,26.9
"Mountcastle, Ryan","663624","2024",22.5,5.3,".271","0.154","90.8","10.4",45.2,25.1,56.1,27.4,33.4,44.4,23.6
"Hayes, Ke'Bryan","663647","2024",18.9,5.8,".233","0.057","88.9","4.8",42.9,18.1,44.8,23.1,32,52,17
