"last_name, first_name","player_id","year","k_percent","bb_percent","batting_avg","isolated_power","exit_velocity_avg","launch_angle_avg","hard_hit_percent","whiff_percent","swing_percent","pull_percent","opposite_percent","groundballs_percent","flyballs_percent"
"Donovan, Brendan","680977","2024",12.4,7.2,".278","0.139","88.7","13.2",37.6,15.1,44.2,35.4,28.4,42.3,22.9
"Stott, Bryson","681082","2024",16.3,9.3,".245","0.111","87","14",30.8,17,44.1,32.2,30.6,43.1,25.8
"Bride, Jonah","681146","2024",20.2,11,".276","0.185","87.1","11.8",33.7,16.7,38.2,44,23.4,47.3,22.8
"Cowser, Colton","681297","2024",30.7,9.3,".242","0.205","90.5","13",46.1,30.4,44.5,34.8,25.8,43.3,30.6
"O'Hoppe, Logan","681351","2024",29.7,6.3,".244","0.165","90.4","15.3",46.3,33.6,52,42.3,22.4,38,29.4
"Carpenter, Kerry","681481","2024",25.3,7.4,".284","0.303","90.5","17.6",46.4,30.3,50.5,41.7,25,37,37.5
"Pages, Andy","681624","2024",24.4,6.5,".248","0.159","88.6","20.8",40.1,26.1,51,41.8,24.7,32.8,30.4
"Fry, David","681807","2024",21.4,10.7,".263","0.185","88.3","19.6",37.6,24.8,49.2,47.1,22,34.1,32.9
"Alvarez, Francisco","682626","2024",25.1,8.8,".237","0.166","88.8","6.9",42,29.6,46.1,33,29,50.9,20.5
"De La Cruz, Elly","682829","2024",31.3,9.9,".259","0.212","91.8","9.7",45.7,33.4,43.4,43.4,22.6,47.1,24.8
"Abrams, CJ","682928","2024",21.3,6.6,".246","0.187","88.2","15.1",40.7,24.7,53.3,45.2,21.8,40.7,28
"Greene, Riley","682985","2024",26.7,11,".262","0.217","91.3","12.2",47.1,26.8,44.3,37.4,23.2,43.6,27.7
"Carroll, Corbin","682998","2024",19,10.7,".231","0.197","89.3","12",40.8,20.3,41.4,37.8,25.7,44.6,22.1
"Henderson, Gunnar","683002","2024",22.1,10.8,".281","0.248","92.8","9.2",53.9,24.4,44.2,36.6,23.4,47.4,23.6
"Volpe, Anthony","683011","2024",22.6,6.1,".243","0.121","87.7","8.4",35.4,22.6,48.1,30.2,28.6,50.6,21.6
"Vaughn, Andrew","683734","2024",21.3,6.1,".246","0.156","90.3","16.6",43.3,22,49.4,33.4,24.6,38.6,30.9
"Busch, Michael","683737","2024",28.6,11.1,".248","0.192","89.9","17.2",39.9,28.4,45.2,40.5,24.3,38.8,32
"Frelick, Sal","686217","2024",14.9,7.4,".259","0.076","83.4","9.7",19.5,12.9,41.5,29.5,27.5,48,18
"Pasquantino, Vinnie","686469","2024",12.8,7.2,".262","0.184","91","14.6",46.5,14.5,47.8,45.8,18.9,40.3,27.8
"Doyle, Brenton","686668","2024",25.4,7.6,".260","0.186","89.2","13.2",41.4,29.8,51.4,36.9,26.7,40.4,29.2
"Lee, Korey","686676","2024",31,4.3,".210","0.137","88.3","9.6",37.6,37.1,58.9,35.7,26.3,49.4,23.5
"Massey, Michael","686681","2024",15.7,4.2,".259","0.190","89.2","16.8",36.9,17.9,52,51.8,19.1,39.7,33
"Brennan, Will","686823","2024",13.6,5.4,".264","0.124","86","13.3",32.5,18.1,54.8,36.7,25.1,42.4,25.1
"Neto, Zach","687263","2024",23.3,6.5,".249","0.194","88.5","12.3",38.8,27.1,48.9,46.2,19.9,45.2,29.2
"Ortiz, Joey","687401","2024",20.2,11,".239","0.159","87.8","9.9",38.4,17.1,39.4,38.2,31.2,49.4,20.5
"Horwitz, Spencer","687462","2024",18.4,11,".265","0.168","88.2","13.7",36.6,19.4,46,37.4,30.2,42,25.6
"Wisely, Brett","689172","2024",23.9,4.8,".238","0.107","86.8","16.2",31.6,22.5,49.5,35.9,23.4,42.7,33.9
"Keith, Colt","690993","2024",19.8,6.5,".260","0.120","87.8","11.3",35.3,23.2,48.6,36.3,26.7,44.1,25
"Winn, Masyn","691026","2024",17.1,6.4,".267","0.149","87","13.2",32.7,19,47,32.7,30,41.2,24.3
"Crow-Armstrong, Pete","691718","2024",23.9,5.1,".237","0.147","88.9","17.2",36.8,29.9,60.7,40.7,23.9,42.5,29.8
"Gonzales, Nick","693304","2024",19.1,4.7,".270","0.128","87.9","13",36.9,24.9,56.2,42.1,24.1,41.7,25.9
"Chourio, Jackson","694192","2024",21.1,6.8,".275","0.189","89.7","7.6",44.9,27.1,48.8,33.2,24.1,48,24.4
"Schanuel, Nolan","694384","2024",17,11.2,".250","0.112","86.1","10.3",25.4,14.4,41.8,39.2,23,46.2,22.5
"Loperfido, Joey","694388","2024",36.3,5,".214","0.136","88.3","12.9",34.7,35.4,52.4,48.7,22,41.3,27.3
"Langford, Wyatt","694671","2024",20.6,9.2,".253","0.162","89.6","16.6",43.4,22.9,42.8,44.7,22,40.1,28.9
"Wood, James","695578","2024",28.9,11.6,".264","0.163","92.8","2.4",52,29.6,38.2,32.3,31.3,55.1,18.2
"Young, Jacob","696285","2024",19.6,5.8,".256","0.075","85.8","4",28.9,19.3,44.9,27.3,36.9,56.5,15.4
"Merrill, Jackson","701538","2024",17,4.9,".292","0.208","90.4","14.6",43.9,20.5,56.9,32.3,26,36.8,33.1
"Yoshida, Masataka","807799","2024",12.4,6.4,".280","0.135","88","10.5",37.5,14.6,45.4,35.7,27.1,43.9,24.4
