#,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR
1,Mike Trout,LAA,140,608,39,101,79,24,20.10%,20.40%,0.316,0.346,0.312,0.46,0.628,0.447,0.434,188,3.8,68,3.1,9.5
2,Mookie Betts,BOS,136,614,32,129,80,30,13.20%,14.80%,0.294,0.368,0.346,0.438,0.64,0.449,0.431,185,7.7,70.1,7.7,10.2
3,J.D. Martinez,BOS,150,649,43,111,130,6,10.60%,22.50%,0.299,0.375,0.33,0.402,0.629,0.427,0.418,170,-1.7,52.9,-17.6,5.9
4,Christian Yelich,MIL,147,651,36,118,110,22,10.40%,20.70%,0.272,0.373,0.326,0.402,0.598,0.422,0.416,167,6.3,59.7,-4.9,7.7
5,Max Muncy,LAD,137,481,35,75,79,3,16.40%,27.20%,0.319,0.299,0.263,0.391,0.582,0.407,0.397,162,1.1,37.3,-10,4.3
6,Alex Bregman,HOU,157,705,31,105,103,10,13.60%,12.10%,0.246,0.289,0.286,0.394,0.532,0.396,0.369,157,3.4,51.4,1.3,7.9
7,Justin Turner,LAD,103,426,14,62,52,2,11.00%,12.70%,0.205,0.334,0.312,0.406,0.518,0.396,0.381,154,-1.3,27,0.2,4.1
8,Aaron Judge,NYY,112,498,27,77,67,6,15.30%,30.50%,0.249,0.368,0.278,0.392,0.528,0.391,0.393,150,-0.7,28.9,3.6,5.1
9,Shohei Ohtani,LAA,114,367,22,59,61,10,10.10%,27.80%,0.279,0.35,0.285,0.361,0.564,0.39,0.381,149,1.3,23,-8.9,2.7
10,Brandon Nimmo,NYM,140,535,17,77,47,9,15.00%,26.20%,0.219,0.351,0.263,0.404,0.483,0.385,0.349,148,2.8,34.2,-1.6,5
11,José Ramírez,CLE,157,698,39,110,105,34,15.20%,11.50%,0.282,0.252,0.27,0.387,0.552,0.391,0.365,147,6.1,45.6,4.6,7.6
12,Juan Soto,WSN,116,494,22,77,70,5,16.00%,20.00%,0.225,0.338,0.292,0.406,0.517,0.392,0.372,146,0.9,28.4,-7.8,3.7
13,Paul Goldschmidt,ARI,158,690,33,95,83,7,13.00%,25.10%,0.243,0.359,0.29,0.389,0.533,0.39,0.384,145,-1.1,36.7,-13,4.6
14,Ronald Acuña Jr.,ATL,111,487,26,78,64,16,9.20%,25.30%,0.259,0.352,0.293,0.366,0.552,0.388,0.375,142,2.2,27.4,0.4,4.4
15,Manny Machado,2 Tms,162,709,37,84,107,14,9.90%,14.70%,0.241,0.304,0.297,0.367,0.538,0.377,0.369,141,3,37.7,9.5,7.2
16,Steve Pearce,2 Tms,76,251,11,35,42,0,11.60%,16.30%,0.228,0.303,0.284,0.378,0.512,0.382,0.393,140,-0.3,11.8,-4.7,1.6
