#,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR
17,Anthony Rendon,WSN,136,597,24,88,92,2,9.20%,13.70%,0.227,0.323,0.308,0.374,0.535,0.383,0.384,140,0.7,29.6,5.4,5.5
18,Matt Carpenter,STL,156,677,36,111,81,4,15.10%,23.30%,0.266,0.291,0.257,0.374,0.523,0.375,0.389,140,-3.1,29.6,-10.1,4.1
19,Matt Chapman,OAK,145,616,24,100,68,1,9.40%,23.70%,0.23,0.338,0.278,0.356,0.508,0.369,0.338,139,4,32.8,8.2,6.4
20,Mitch Haniger,SEA,157,683,26,90,93,8,10.20%,21.70%,0.208,0.336,0.285,0.366,0.493,0.367,0.366,137,1.2,31.2,-5.8,5
21,Khris Davis,OAK,151,654,48,98,123,0,9.00%,26.80%,0.302,0.261,0.247,0.326,0.549,0.365,0.376,136,-2.9,25.5,-19.5,2.9
22,Freddie Freeman,ATL,162,707,23,94,98,10,10.70%,18.70%,0.196,0.358,0.309,0.388,0.505,0.378,0.388,136,-0.2,30.8,-7.6,4.6
23,Jesús Aguilar,MIL,149,566,35,80,108,0,10.20%,25.30%,0.264,0.309,0.274,0.352,0.539,0.374,0.356,135,-4.3,19.8,-7.8,3
24,Jose Altuve,HOU,137,599,13,84,61,17,9.20%,13.20%,0.135,0.352,0.316,0.386,0.451,0.363,0.352,135,3.9,28.9,6.9,5.8
25,Bryce Harper,WSN,159,695,34,103,100,13,18.70%,24.30%,0.247,0.289,0.249,0.393,0.496,0.376,0.391,135,-0.7,28.8,-19,3.2
26,Robinson Canó,SEA,80,348,10,44,50,0,9.20%,13.50%,0.168,0.329,0.303,0.374,0.471,0.364,0.376,135,-0.1,14.3,1.8,2.9
27,Eugenio Suárez,CIN,143,606,34,79,104,1,10.60%,23.40%,0.243,0.322,0.283,0.366,0.526,0.376,0.373,135,-4.2,21.4,3,4.4
28,Xander Bogaerts,BOS,136,580,23,72,103,8,9.50%,17.60%,0.234,0.317,0.288,0.36,0.522,0.373,0.363,133,0.7,23.7,1.4,4.6
29,Nelson Cruz,SEA,144,591,37,70,97,1,9.30%,20.60%,0.252,0.264,0.256,0.342,0.509,0.361,0.396,133,-1.3,21.9,-14.5,2.8
30,Nolan Arenado,COL,156,673,38,104,110,2,10.80%,18.10%,0.264,0.314,0.297,0.374,0.561,0.391,0.353,133,-0.9,26,11.1,5.9
31,Wilson Ramos,2 Tms,111,416,15,39,70,0,7.70%,19.20%,0.181,0.353,0.306,0.358,0.487,0.361,0.327,132,-5.5,10.5,5.6,3.1
32,Francisco Lindor,CLE,158,745,38,129,92,25,9.40%,14.40%,0.242,0.279,0.277,0.352,0.519,0.368,0.375,132,1.5,29.5,20.8,7.8
33,Javier Báez,CHC,160,645,34,101,111,21,4.50%,25.90%,0.264,0.347,0.29,0.326,0.554,0.366,0.34,131,4.2,28.8,8.3,5.8
34,David Peralta,ARI,146,614,30,75,87,4,7.80%,20.20%,0.223,0.328,0.293,0.352,0.516,0.368,0.35,130,1.9,24.7,-7.6,3.7
35,Joey Votto,CIN,145,623,12,67,67,2,17.30%,16.20%,0.135,0.333,0.284,0.417,0.419,0.37,0.391,130,-2.1,20.8,-10.1,3.1
36,Tommy Pham,2 Tms,137,570,21,102,63,15,11.80%,24.60%,0.188,0.342,0.275,0.367,0.464,0.359,0.376,130,1,21.4,-4.2,3.6
37,Miguel Andujar,NYY,149,606,27,83,92,2,4.10%,16.00%,0.23,0.316,0.297,0.328,0.527,0.361,0.322,129,-0.2,21.1,-4.2,3.9
38,Nick Castellanos,DET,157,678,23,88,89,2,7.20%,22.30%,0.202,0.361,0.298,0.354,0.5,0.363,0.374,129,0.8,24.2,-28.1,2
39,Franmil Reyes,SDP,87,285,16,36,31,0,8.40%,28.10%,0.218,0.345,0.28,0.34,0.498,0.36,0.329,129,-1.4,8.6,-7.4,1
40,Aaron Hicks,NYY,137,581,27,90,79,11,15.50%,19.10%,0.219,0.264,0.248,0.366,0.467,0.36,0.372,129,2.5,22.3,-3.2,4
41,Giancarlo Stanton,NYY,158,705,38,102,100,5,9.90%,29.90%,0.243,0.333,0.266,0.343,0.509,0.36,0.345,128,-1.9,22.1,-9.8,3.7
42,Rhys Hoskins,PHI,153,660,34,89,96,5,13.20%,22.70%,0.251,0.272,0.246,0.354,0.496,0.363,0.348,128,-2.1,20.8,-22.5,1.9
43,Daniel Robertson,TBR,88,340,9,46,34,2,12.60%,22.60%,0.152,0.328,0.262,0.382,0.415,0.354,0.328,128,0.5,12,3.8,2.8
44,Trevor Story,COL,157,656,37,88,108,27,7.20%,25.60%,0.276,0.345,0.291,0.348,0.567,0.384,0.358,128,2.9,25.5,0.1,4.7
45,Jesse Winker,CIN,89,334,7,38,43,0,14.70%,13.80%,0.132,0.336,0.299,0.405,0.431,0.366,0.366,127,-2.1,9.1,-7.5,1.2
46,J.T. Realmuto,MIA,125,531,21,74,74,3,7.20%,19.60%,0.208,0.312,0.277,0.34,0.484,0.353,0.351,127,2.9,20.1,8.9,4.7
47,José Martínez,STL,152,590,17,64,83,0,8.30%,17.60%,0.152,0.351,0.305,0.364,0.457,0.356,0.378,127,-4.2,14.9,-15.6,1.8
48,Stephen Piscotty,OAK,151,605,27,78,88,2,6.90%,18.80%,0.223,0.29,0.267,0.331,0.491,0.351,0.356,126,-0.5,18.6,-7.7,3.2
49,Joc Pederson,LAD,148,443,25,65,56,1,9.00%,19.20%,0.273,0.253,0.248,0.321,0.522,0.354,0.329,126,0,14.2,-10,1.8
50,Anthony Rizzo,CHC,153,665,25,74,101,6,10.50%,12.00%,0.187,0.287,0.283,0.376,0.47,0.359,0.367,126,-4.8,16.4,-4.9,3.3
51,Kris Bryant,CHC,102,457,13,59,52,2,10.50%,23.40%,0.188,0.342,0.272,0.374,0.46,0.359,0.347,126,-0.4,14.2,-0.8,2.8
52,David Freese,2 Tms,113,312,11,38,51,0,7.70%,23.10%,0.175,0.36,0.296,0.359,0.471,0.357,0.359,125,-1.3,8.4,-2.8,1.6
53,Michael Brantley,CLE,143,631,17,89,76,12,7.60%,9.50%,0.16,0.319,0.309,0.364,0.468,0.359,0.357,125,1.6,20.5,-7.8,3.5
54,Lorenzo Cain,MIL,141,620,10,90,38,30,11.50%,15.20%,0.109,0.357,0.308,0.395,0.417,0.359,0.342,125,3.2,22,17.3,6
55,Scooter Gennett,CIN,154,638,23,86,92,4,6.60%,19.60%,0.18,0.358,0.31,0.357,0.49,0.362,0.311,125,-2,17.3,-2.4,3.5
56,Yasmani Grandal,LAD,140,518,24,65,68,2,13.90%,23.90%,0.225,0.278,0.241,0.349,0.466,0.352,0.337,125,-3,12.7,22.7,5.3
57,Jed Lowrie,OAK,157,680,23,78,99,0,11.50%,18.80%,0.181,0.304,0.267,0.353,0.448,0.347,0.327,124,-2.3,17.3,8.8,5.1
58,Francisco Cervelli,PIT,104,404,12,39,57,2,12.60%,20.80%,0.172,0.308,0.259,0.378,0.431,0.355,0.346,124,-2.3,9.4,-2.7,2
59,C.J. Cron,TBR,140,560,30,68,74,1,6.60%,25.90%,0.24,0.293,0.253,0.323,0.493,0.347,0.345,124,-1.1,14.7,-11.2,2.3
60,Ben Zobrist,CHC,139,520,9,67,58,3,10.60%,11.50%,0.134,0.331,0.305,0.378,0.44,0.355,0.333,123,-0.9,13.9,-0.7,3
61,Adam Eaton,WSN,95,370,5,55,33,9,10.30%,17.30%,0.11,0.364,0.301,0.394,0.411,0.358,0.336,123,1,11.3,-7.9,1.5
62,Yasiel Puig,LAD,125,444,23,60,63,15,8.10%,19.60%,0.227,0.286,0.267,0.327,0.494,0.349,0.354,123,2.1,14.4,-6,2.3
63,Jorge Soler,KCR,61,257,9,27,28,3,10.90%,26.80%,0.202,0.34,0.265,0.354,0.466,0.354,0.349,123,-0.4,6.6,-8.6,0.7
64,Gregory Polanco,PIT,130,535,23,75,81,12,11.40%,21.90%,0.245,0.287,0.254,0.34,0.499,0.353,0.339,123,1.5,16.2,-4.5,2.9
65,Andrew Benintendi,BOS,148,661,16,103,87,21,10.70%,16.00%,0.174,0.328,0.29,0.366,0.465,0.357,0.353,123,3.3,21.1,-1,4.4
66,Matt Kemp,LAD,146,506,21,62,85,0,7.10%,22.70%,0.19,0.339,0.29,0.338,0.481,0.348,0.359,122,-2.5,11.3,-8,1.9
67,Didi Gregorius,NYY,134,569,27,89,86,10,8.40%,12.10%,0.226,0.259,0.268,0.335,0.494,0.35,0.318,122,0.8,15.7,-3.5,3.3
68,Omar Narváez,CHW,97,322,9,30,30,0,11.80%,20.20%,0.154,0.33,0.275,0.366,0.429,0.348,0.321,122,-4,4.3,-10.3,0.5
69,Gleyber Torres,NYY,123,484,24,54,77,6,8.70%,25.20%,0.209,0.321,0.271,0.34,0.48,0.349,0.338,121,-1.8,10.5,-2.9,2.5
70,Justin Upton,LAA,145,613,30,80,85,8,10.40%,28.70%,0.206,0.321,0.257,0.344,0.463,0.348,0.354,121,-0.9,14.5,-8.3,2.8
71,Andrew McCutchen,2 Tms,155,682,20,83,65,14,13.90%,21.30%,0.169,0.304,0.255,0.368,0.424,0.347,0.36,121,-3.7,13.2,-14.5,2.1
72,Justin Smoak,TOR,147,594,25,67,77,0,14.00%,26.30%,0.216,0.297,0.242,0.35,0.457,0.349,0.337,120,-6.5,7.9,-4.9,2.4
73,Cody Bellinger,LAD,162,632,25,84,76,14,10.90%,23.90%,0.21,0.313,0.26,0.343,0.47,0.345,0.327,120,3.3,19.1,-4.3,3.5
74,Travis Shaw,MIL,152,587,32,73,86,5,13.30%,18.40%,0.239,0.242,0.241,0.345,0.48,0.351,0.35,119,-1,12.9,5.2,3.7
75,Michael Conforto,NYM,153,638,28,78,82,3,13.20%,24.90%,0.204,0.289,0.243,0.35,0.448,0.342,0.34,119,-2.6,12.5,0.6,3.4
76,Whit Merrifield,KCR,158,707,12,88,60,45,8.60%,16.10%,0.134,0.352,0.304,0.367,0.438,0.349,0.343,119,5.2,21.5,2.8,5
77,Matt Olson,OAK,162,660,29,85,84,2,10.60%,24.70%,0.207,0.292,0.247,0.335,0.453,0.34,0.357,119,-3.6,11.3,-6.7,2.8
78,George Springer,HOU,140,620,22,102,71,6,10.30%,19.70%,0.169,0.303,0.265,0.346,0.434,0.34,0.346,119,-1.1,12.8,-3.9,3.1
79,Ryan Zimmerman,WSN,85,323,13,33,51,1,9.30%,17.00%,0.222,0.284,0.264,0.337,0.486,0.351,0.37,118,0.4,7.7,-3.3,1.5
80,Mallex Smith,TBR,141,544,2,65,40,40,8.60%,18.00%,0.11,0.366,0.296,0.367,0.406,0.339,0.302,118,7.4,19.4,-6.8,3.2
81,Enrique Hernández,LAD,145,462,21,67,52,3,10.80%,16.90%,0.214,0.266,0.256,0.336,0.47,0.342,0.333,118,2.2,12.5,1,2.8
82,Eduardo Escobar,2 Tms,151,631,23,75,84,2,8.20%,20.00%,0.217,0.308,0.272,0.334,0.489,0.346,0.323,117,-0.8,12.4,2.1,3.6
83,Charlie Blackmon,COL,156,696,29,119,70,12,8.50%,19.30%,0.211,0.329,0.291,0.358,0.502,0.368,0.346,117,1.7,16.5,-13.8,2.5
84,Joey Wendle,TBR,139,545,7,62,61,16,6.80%,17.60%,0.136,0.353,0.3,0.354,0.435,0.338,0.304,117,3.3,14.6,5.4,4
85,Shin-Soo Choo,TEX,146,665,21,83,62,6,13.80%,23.50%,0.17,0.33,0.264,0.377,0.434,0.355,0.362,117,-0.4,12.9,-17.6,1.8
86,Edwin Encarnación,CLE,137,579,32,74,107,3,10.90%,22.80%,0.228,0.265,0.246,0.336,0.474,0.346,0.356,116,-2.1,9.2,-16.7,1.3
87,Adam Frazier,PIT,113,352,10,52,35,1,8.20%,15.10%,0.179,0.305,0.277,0.342,0.456,0.343,0.319,116,-0.2,6.5,0.8,1.9
88,Kyle Schwarber,CHC,137,510,26,64,61,4,15.30%,27.50%,0.229,0.288,0.238,0.356,0.467,0.343,0.35,115,-1.6,8,-2.7,2.2
89,Mark Canha,OAK,122,411,17,60,52,1,8.30%,21.40%,0.2,0.282,0.249,0.328,0.449,0.334,0.338,115,0.6,8,-4.2,1.8
90,Curtis Granderson,2 Tms,123,403,13,60,38,2,13.40%,26.30%,0.19,0.311,0.242,0.351,0.431,0.341,0.342,115,-1.3,5.9,-10.6,0.9
91,Johan Camargo,ATL,134,524,19,63,76,1,9.70%,20.60%,0.185,0.315,0.272,0.349,0.457,0.346,0.307,115,-0.6,8.9,5.9,3.2
92,Chad Pinder,OAK,110,333,13,43,27,0,8.10%,26.40%,0.178,0.325,0.258,0.332,0.436,0.333,0.366,115,-2.7,3.2,4.1,1.9
93,Hunter Renfroe,SDP,117,441,26,53,68,2,6.80%,24.70%,0.256,0.271,0.248,0.302,0.504,0.338,0.325,114,0,7.8,-4.1,1.8
94,Randal Grichuk,TOR,124,462,25,60,61,3,5.80%,26.40%,0.257,0.282,0.245,0.301,0.502,0.34,0.337,114,2.5,10.3,3.2,3
95,José Abreu,CHW,128,553,22,68,78,2,6.70%,19.70%,0.208,0.294,0.265,0.325,0.473,0.337,0.356,114,-1.1,8.3,-10.7,1.7
96,Corey Dickerson,PIT,135,533,13,65,55,8,3.90%,15.00%,0.175,0.333,0.3,0.33,0.474,0.341,0.33,114,3.6,12.8,-0.4,3
97,Eddie Rosario,MIN,138,592,24,87,77,8,5.10%,17.60%,0.191,0.316,0.288,0.323,0.479,0.34,0.302,114,4.2,14.2,-2.1,3.3
98,Nick Markakis,ATL,162,705,14,78,93,1,10.20%,11.30%,0.143,0.318,0.297,0.366,0.44,0.345,0.345,114,-1,10.8,-7.3,2.6
99,Elias Díaz,PIT,82,277,10,33,34,0,7.60%,14.40%,0.167,0.302,0.286,0.339,0.452,0.34,0.341,114,-0.4,4.2,3.9,1.7
100,Adalberto Mondesi,KCR,75,291,14,47,37,32,3.80%,26.50%,0.222,0.335,0.276,0.306,0.498,0.341,0.33,113,5.3,10,6.8,2.8
101,Chris Taylor,LAD,155,604,17,85,63,9,9.10%,29.50%,0.19,0.345,0.254,0.331,0.444,0.335,0.321,113,0.8,10.6,5.4,3.6
102,Brian Anderson,MIA,156,670,11,87,65,2,9.30%,19.30%,0.127,0.332,0.273,0.357,0.4,0.333,0.334,113,0.1,10.9,-2.2,3
103,Denard Span,2 Tms,137,501,11,63,58,9,10.20%,15.80%,0.158,0.291,0.261,0.341,0.419,0.33,0.335,112,2.6,9.7,-8.6,1.9
104,Daniel Descalso,ARI,138,423,13,54,57,0,15.10%,26.00%,0.198,0.3,0.238,0.353,0.436,0.341,0.332,112,-0.3,5.9,-11.8,0.7
105,Starling Marte,PIT,145,606,20,81,72,33,5.80%,18.00%,0.182,0.312,0.277,0.327,0.46,0.337,0.335,112,3.3,12,8.9,4.1
106,Jorge Polanco,MIN,77,333,6,38,42,7,7.50%,18.60%,0.139,0.345,0.288,0.345,0.427,0.336,0.301,111,-1.6,2.9,-0.5,1.4
107,Jedd Gyorko,STL,125,402,11,49,47,2,10.90%,19.20%,0.154,0.303,0.262,0.346,0.416,0.333,0.316,111,-1.5,4,0.2,1.7
108,Josh Bell,PIT,148,583,12,74,62,2,13.20%,17.80%,0.15,0.305,0.261,0.357,0.411,0.336,0.34,111,-1.4,6.3,-9,1.6
109,Daniel Murphy,2 Tms,91,351,12,40,42,3,5.70%,11.40%,0.155,0.308,0.299,0.336,0.454,0.338,0.343,111,-0.4,4.1,-9.3,0.6
110,Asdrúbal Cabrera,2 Tms,147,592,23,68,75,0,6.90%,20.10%,0.196,0.296,0.262,0.316,0.458,0.332,0.321,111,-2.5,5.2,7.5,3.2
111,David Dahl,COL,77,271,16,31,48,5,7.00%,25.10%,0.261,0.311,0.273,0.325,0.534,0.357,0.321,111,0.1,3.6,-2.9,0.9
112,Willy Adames,TBR,85,323,10,43,34,6,9.60%,29.40%,0.128,0.378,0.278,0.348,0.406,0.328,0.285,110,0,3.9,-3.2,1.2
113,Tony Kemp,HOU,97,295,6,37,30,9,10.80%,14.90%,0.129,0.296,0.263,0.351,0.392,0.327,0.283,110,-0.7,2.9,-4.7,0.9
114,AJ Pollock,ARI,113,460,21,61,65,13,6.70%,21.70%,0.228,0.284,0.257,0.316,0.484,0.338,0.334,110,2.4,8,2,2.5
115,Brock Holt,BOS,109,367,7,41,46,7,10.10%,19.90%,0.134,0.337,0.277,0.362,0.411,0.338,0.327,110,-2.5,1.7,0.9,1.6
116,Jean Segura,SEA,144,632,10,91,63,20,5.10%,10.90%,0.111,0.327,0.304,0.341,0.415,0.327,0.31,109,1.6,8.7,6.5,3.8
117,Robbie Grossman,MIN,129,465,5,50,48,0,12.90%,17.80%,0.111,0.329,0.273,0.367,0.384,0.333,0.316,109,-1.3,3.9,-7.5,1.3
118,Jake Cave,MIN,91,309,13,54,45,2,5.80%,33.00%,0.208,0.363,0.265,0.313,0.473,0.332,0.34,109,-1.2,2.2,-3,1
119,Derek Dietrich,MIA,149,551,16,72,45,2,5.30%,25.40%,0.156,0.336,0.265,0.33,0.421,0.326,0.303,109,0.1,6,-19.2,0.4
120,Daniel Palka,CHW,124,449,27,56,67,2,6.70%,34.10%,0.245,0.308,0.24,0.294,0.484,0.329,0.312,109,-1.3,3.4,-19.8,-0.1
121,Carlos Santana,PHI,161,679,24,82,86,2,16.20%,13.70%,0.186,0.231,0.229,0.352,0.414,0.333,0.346,108,-1.1,5.8,-3.9,2.3
122,Scott Schebler,CIN,107,430,17,55,49,4,9.10%,23.00%,0.184,0.301,0.255,0.337,0.439,0.337,0.349,108,-0.1,4.2,-7.6,1
123,Joey Gallo,TEX,148,577,40,82,92,3,12.80%,35.90%,0.292,0.249,0.206,0.312,0.498,0.343,0.369,108,-1.3,4.3,-3,2.2
124,Matt Adams,2 Tms,121,337,21,42,57,0,8.00%,21.70%,0.239,0.245,0.239,0.309,0.477,0.334,0.33,108,-2.6,0.5,-6.1,0.5
125,Yuli Gurriel,HOU,136,573,13,70,85,5,4.00%,11.00%,0.138,0.306,0.291,0.323,0.428,0.323,0.29,107,-0.9,4.2,-5.7,1.9
126,Matt Duffy,TBR,132,560,4,59,44,12,8.40%,16.60%,0.072,0.353,0.294,0.361,0.366,0.323,0.31,107,-0.8,4.1,0.3,2.4
127,Wil Myers,SDP,83,343,11,39,39,13,8.70%,27.40%,0.192,0.327,0.253,0.318,0.446,0.328,0.342,107,3.1,6.1,-3,1.4
128,Mark Trumbo,BAL,90,358,17,41,44,0,6.70%,24.30%,0.191,0.303,0.261,0.313,0.452,0.329,0.335,107,-1.1,2,-11.1,0.3
129,Charlie Culberson,ATL,113,322,12,47,45,4,6.50%,26.40%,0.196,0.34,0.27,0.326,0.466,0.335,0.268,107,1.9,4.7,-2.9,1.2
130,Kurt Suzuki,ATL,105,388,12,45,50,0,5.70%,11.10%,0.173,0.275,0.271,0.332,0.444,0.335,0.327,107,-2.5,0.9,-3.3,1
131,Kendrys Morales,TOR,130,471,21,47,57,2,10.60%,20.20%,0.189,0.272,0.249,0.331,0.438,0.329,0.373,107,-4.3,-0.4,-9.8,0.6
132,Marcell Ozuna,STL,148,628,23,69,88,3,6.10%,17.50%,0.153,0.309,0.28,0.325,0.433,0.327,0.354,107,0.9,6.3,-6.8,1.9
133,Justin Bour,2 Tms,141,501,20,49,59,2,14.60%,24.80%,0.177,0.27,0.227,0.341,0.404,0.324,0.325,107,-2.8,1.5,-10.7,0.6
134,Harrison Bader,STL,138,427,12,61,37,15,7.30%,29.30%,0.158,0.358,0.264,0.334,0.422,0.326,0.286,107,4.5,8.1,14.8,3.7
135,Yairo Muñoz,STL,108,329,8,39,42,5,9.10%,21.60%,0.137,0.338,0.276,0.35,0.413,0.326,0.297,107,-1.6,1.1,-11.3,0
136,Ben Gamel,SEA,101,293,1,37,19,7,10.60%,20.80%,0.097,0.352,0.272,0.358,0.37,0.323,0.311,107,-0.4,2,-5,0.7
137,Jurickson Profar,TEX,146,594,20,82,77,10,9.10%,14.80%,0.204,0.269,0.254,0.335,0.458,0.341,0.323,107,6.3,11.1,-10.1,2.2
138,Brandon Belt,SFG,112,456,14,50,46,4,10.70%,23.50%,0.16,0.311,0.253,0.342,0.414,0.327,0.351,107,1.1,4.8,-4.2,1.5
139,Buster Posey,SFG,105,448,5,47,41,3,10.00%,11.80%,0.098,0.316,0.284,0.359,0.382,0.326,0.336,106,-2,1.5,10.1,2.6
140,Ian Happ,CHC,142,462,15,56,44,8,15.20%,36.10%,0.176,0.362,0.233,0.353,0.408,0.329,0.322,106,0.1,3.6,-8,1
141,Teoscar Hernández,TOR,134,523,22,67,57,5,7.80%,31.20%,0.229,0.313,0.239,0.302,0.468,0.328,0.342,106,-0.3,3.5,-10.6,1.1
142,Andrelton Simmons,LAA,146,600,11,68,75,10,5.80%,7.30%,0.125,0.3,0.292,0.337,0.417,0.326,0.316,106,2.3,6.6,15,4.3
143,José Bautista,3 Tms,122,399,13,52,48,4,16.80%,27.80%,0.175,0.262,0.203,0.348,0.378,0.324,0.338,106,-1.8,1,-9.1,0.4
144,Ryan Braun,MIL,125,447,20,59,64,11,7.60%,19.00%,0.215,0.274,0.254,0.313,0.469,0.33,0.368,106,0.1,3.2,-7.6,1
145,Eric Thames,MIL,96,278,16,41,37,7,10.40%,34.90%,0.259,0.284,0.219,0.306,0.478,0.33,0.315,105,2.1,4,-8.2,0.4
146,Trea Turner,WSN,162,740,19,103,73,43,9.30%,17.80%,0.145,0.314,0.271,0.344,0.416,0.331,0.335,105,8.9,13.5,13.8,5.1
147,Mike Moustakas,2 Tms,152,635,28,66,95,4,7.70%,16.20%,0.208,0.259,0.251,0.315,0.459,0.329,0.336,105,-3.2,0.6,-2.7,1.9
148,Maikel Franco,PHI,131,465,22,48,68,1,6.20%,13.30%,0.196,0.27,0.27,0.314,0.467,0.328,0.303,105,-1.5,1.3,-1.8,1.4
149,Ketel Marte,ARI,153,580,14,68,59,6,9.30%,13.60%,0.177,0.282,0.26,0.332,0.437,0.33,0.32,105,0.5,3.9,7.3,3
150,Yadier Molina,STL,123,503,20,55,74,4,5.80%,13.10%,0.174,0.264,0.261,0.314,0.436,0.323,0.329,105,-2.4,0.4,10.9,2.7
151,Tyler Austin,2 Tms,69,268,17,34,47,1,7.10%,35.40%,0.25,0.289,0.23,0.287,0.48,0.325,0.336,104,-1.2,0.2,-3.8,0.6
152,Christian Villanueva,SDP,110,384,20,42,46,3,6.00%,27.10%,0.214,0.276,0.236,0.299,0.45,0.323,0.3,104,0.4,2.2,2.4,1.7
153,Matt Davidson,CHW,126,496,20,51,62,0,10.50%,33.30%,0.191,0.313,0.228,0.319,0.419,0.321,0.322,104,-2.3,-0.1,-9.4,0.8
154,Marwin Gonzalez,HOU,145,552,16,61,68,2,9.60%,22.80%,0.162,0.301,0.247,0.324,0.409,0.318,0.321,104,-2.1,0.3,-1.2,1.8
155,Mitch Garver,MIN,103,335,7,38,45,0,8.70%,21.50%,0.146,0.33,0.268,0.335,0.414,0.325,0.309,104,0.3,1.7,-9.7,0.4
156,Paul DeJong,STL,115,490,19,68,68,1,7.30%,25.10%,0.193,0.288,0.241,0.313,0.433,0.321,0.326,103,-1.1,0.7,-2.9,1.3
157,Melky Cabrera,CLE,78,278,6,28,39,1,7.20%,13.70%,0.14,0.303,0.28,0.335,0.42,0.326,0.33,103,-1.6,-0.7,-8.5,0
158,Nick Williams,PHI,140,448,17,53,50,3,7.10%,24.80%,0.17,0.312,0.256,0.324,0.425,0.324,0.346,102,-0.4,0.9,-12.4,0.2
159,Yan Gomes,CLE,112,435,16,52,48,0,4.80%,27.40%,0.184,0.336,0.266,0.313,0.449,0.326,0.322,102,-2,-0.8,11.7,2.6
160,Lourdes Gurriel Jr.,TOR,65,263,11,30,35,1,3.40%,22.40%,0.165,0.326,0.281,0.309,0.446,0.322,0.321,102,-0.9,-0.2,-2.5,0.6
161,Wilmer Flores,NYM,126,429,11,43,51,0,6.80%,9.80%,0.15,0.269,0.267,0.319,0.417,0.316,0.296,102,-3.3,-2.3,-2.7,0.8
162,Colin Moran,PIT,144,465,11,49,58,0,8.40%,17.60%,0.13,0.316,0.277,0.34,0.407,0.322,0.327,102,-4.8,-3.7,-5.2,0.5
163,Robinson Chirinos,TEX,113,426,18,48,65,2,10.60%,32.90%,0.197,0.304,0.222,0.338,0.419,0.333,0.319,102,-3.1,-2.3,-3.8,0.9
164,Leonys Martin,2 Tms,84,353,11,48,33,7,8.50%,21.80%,0.17,0.302,0.255,0.323,0.425,0.323,0.357,101,0.6,1.3,0.8,1.4
165,Aledmys Díaz,TOR,130,452,18,55,55,3,5.10%,13.70%,0.19,0.269,0.263,0.303,0.453,0.321,0.331,101,-3.8,-3,1.7,1.5
166,Starlin Castro,MIA,154,647,12,76,54,6,7.40%,19.20%,0.121,0.33,0.278,0.329,0.4,0.315,0.311,101,-0.2,1,6.5,2.8
