#,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR
93,Spencer Steer,CIN,156,665,23,74,86,15,10.20%,20.90%,0.192,0.318,0.271,0.356,0.464,0.355,0.333,117,-0.5,13.4,-17.2,1.9
94,Nathaniel Lowe,TEX,161,724,17,89,82,1,12.80%,22.80%,0.152,0.329,0.262,0.36,0.414,0.34,0.339,117,-4.9,9.6,-7.8,2.7
95,Stone Garrett,WSN,89,271,9,40,40,3,9.60%,30.30%,0.188,0.365,0.269,0.343,0.457,0.344,0.345,116,0.6,6,-2,1.3
96,Brandon Lowe,TBR,109,436,21,58,68,7,11.50%,27.30%,0.212,0.275,0.231,0.328,0.443,0.334,0.341,116,1.2,9.7,4,2.9
97,Adam Duvall,BOS,92,353,21,45,58,4,6.20%,31.20%,0.284,0.299,0.247,0.303,0.531,0.347,0.304,116,0.8,7.5,-5,1.5
98,Jordan Walker,STL,117,465,16,51,51,7,8.00%,22.40%,0.169,0.331,0.276,0.342,0.445,0.341,0.332,116,-0.1,8.9,-15.2,1
99,Donovan Solano,MIN,134,450,5,43,38,0,8.90%,22.20%,0.109,0.366,0.282,0.369,0.391,0.338,0.351,116,-2.9,5.5,-9.1,1.2
100,TJ Friedl,CIN,138,556,18,73,66,27,8.50%,16.20%,0.189,0.308,0.279,0.352,0.467,0.353,0.289,115,6.1,16.7,3.7,3.9
101,Michael Harris II,ATL,138,539,18,76,57,20,4.60%,18.70%,0.184,0.334,0.293,0.331,0.477,0.345,0.357,115,5,15.3,4.7,3.8
102,Danny Jansen,TOR,86,301,17,38,53,0,7.60%,20.60%,0.246,0.233,0.228,0.312,0.474,0.336,0.316,115,-1.1,4.4,4.8,1.9
103,Justin Turner,BOS,146,626,23,86,96,4,8.10%,17.60%,0.179,0.304,0.276,0.345,0.455,0.346,0.336,115,-5.2,5.7,-16.6,1.1
104,Andrew McCutchen,PIT,112,473,12,55,43,11,15.90%,21.10%,0.141,0.312,0.256,0.378,0.397,0.345,0.353,114,-1.6,6.9,-10,1.3
105,Ryan Mountcastle,BAL,115,470,18,64,68,3,7.90%,22.80%,0.182,0.315,0.27,0.328,0.452,0.333,0.356,114,0.7,8.8,-8.2,1.7
106,Bobby Witt Jr.,KCR,158,694,30,97,96,49,5.80%,17.40%,0.218,0.295,0.276,0.319,0.495,0.343,0.369,114,7.6,19.5,14.9,5.8
107,Brandon Drury,LAA,125,523,26,61,83,0,4.80%,26.00%,0.235,0.308,0.262,0.306,0.497,0.339,0.318,114,-2.8,6,3.1,2.7
108,Mickey Moniak,LAA,85,323,14,35,45,6,2.80%,35.00%,0.215,0.397,0.28,0.307,0.495,0.339,0.308,114,0.6,6,1.2,1.8
109,Luis Rengifo,LAA,126,445,16,55,51,6,9.20%,18.40%,0.18,0.293,0.264,0.339,0.444,0.339,0.323,114,-0.5,6.9,-5.6,1.7
110,Cal Raleigh,SEA,145,569,30,78,75,0,9.50%,27.80%,0.224,0.273,0.232,0.306,0.456,0.326,0.33,113,-2.2,6.8,17.2,4.3
111,Manny Machado,SDP,138,601,30,75,91,3,8.30%,18.10%,0.204,0.268,0.258,0.319,0.462,0.334,0.332,113,-2.4,7.3,6.3,3.4
112,Josh Jung,TEX,122,515,23,75,70,1,5.80%,29.30%,0.201,0.34,0.266,0.315,0.467,0.334,0.337,112,-3.4,4.2,5.3,2.7
