#,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR
1,Byron Buxton,MIN,61,254,19,50,32,9,5.10%,24.40%,0.34,0.344,0.306,0.358,0.647,0.419,0.407,171,2.7,24.6,7.1,4.1
2,Bryce Harper,PHI,141,599,35,101,84,13,16.70%,22.40%,0.305,0.359,0.309,0.429,0.615,0.431,0.43,170,-0.3,53.5,-7.3,6.6
3,Vladimir Guerrero Jr.,TOR,161,698,48,123,111,4,12.30%,15.80%,0.29,0.313,0.311,0.401,0.601,0.419,0.421,166,-1.4,54.8,-15.7,6.3
4,Juan Soto,WSN,151,654,29,111,95,9,22.20%,14.20%,0.221,0.332,0.313,0.465,0.534,0.42,0.429,164,-3.1,49.9,-4.1,6.8
5,Brandon Belt,SFG,97,381,29,65,59,3,12.60%,27.00%,0.323,0.309,0.274,0.378,0.597,0.406,0.374,159,-0.5,28,-5.1,3.6
6,Fernando Tatis Jr.,SDP,130,546,42,99,97,25,11.40%,28.00%,0.328,0.324,0.282,0.364,0.611,0.403,0.407,158,5.7,45.8,3.8,6.8
7,Ronald Acuña Jr.,ATL,82,360,24,72,52,17,13.60%,23.60%,0.313,0.311,0.283,0.394,0.596,0.412,0.429,157,2.8,29.1,2.2,4.4
8,Yasmani Grandal,CHW,93,375,23,60,62,0,23.20%,21.90%,0.28,0.246,0.24,0.42,0.52,0.402,0.412,157,-4.2,22.1,0.7,3.6
9,Luis Robert Jr.,CHW,68,296,13,42,43,6,4.70%,20.60%,0.229,0.394,0.338,0.378,0.567,0.399,0.382,155,0.2,20.1,4.1,3.5
10,Frank Schwindel,2 Tms,64,259,14,44,43,2,6.20%,15.80%,0.264,0.348,0.326,0.371,0.591,0.403,0.332,154,-0.9,17,-6.2,2
11,Shohei Ohtani,LAA,158,639,46,103,100,26,15.00%,29.60%,0.335,0.303,0.257,0.372,0.592,0.393,0.408,150,2.3,41.8,-13.6,5
12,Aaron Judge,NYY,148,633,39,89,98,6,11.80%,25.00%,0.256,0.332,0.287,0.373,0.544,0.387,0.418,150,0.2,38.9,-6,5.5
13,Jesse Winker,CIN,110,485,24,77,71,1,10.90%,15.50%,0.251,0.324,0.305,0.394,0.556,0.403,0.39,148,-3.7,26,-10,3.2
14,Matt Olson,OAK,156,673,39,101,111,4,13.10%,16.80%,0.269,0.269,0.271,0.371,0.54,0.379,0.378,147,-0.3,38.2,-11.8,5
15,Corey Seager,LAD,95,409,16,54,57,1,11.70%,16.10%,0.215,0.336,0.306,0.394,0.521,0.389,0.392,146,-0.1,24,0.4,3.8
16,Kyle Tucker,HOU,140,567,30,83,92,14,9.30%,15.90%,0.263,0.304,0.294,0.359,0.557,0.383,0.396,146,3,34.7,-4.4,5
17,Kyle Schwarber,2 Tms,113,471,32,76,71,1,13.60%,27.00%,0.288,0.306,0.266,0.374,0.554,0.392,0.399,145,-2.6,24.1,-12.9,2.7
18,Darin Ruf,SFG,117,312,16,41,43,2,14.70%,27.90%,0.248,0.344,0.271,0.385,0.519,0.384,0.381,144,-0.4,17.2,1.9,3
19,Tyler O'Neill,STL,138,537,34,89,80,15,7.10%,31.30%,0.274,0.366,0.286,0.352,0.56,0.384,0.389,143,2.8,31.9,2.9,5.3
20,Trea Turner,2 Tms,148,646,28,107,77,32,6.30%,17.00%,0.208,0.362,0.328,0.375,0.536,0.386,0.364,143,7.6,42.6,6.9,7.1
21,Buster Posey,SFG,113,454,18,68,56,0,12.30%,19.20%,0.195,0.349,0.304,0.39,0.499,0.379,0.361,141,-3.3,20.3,17.5,5.3
22,Ketel Marte,ARI,90,374,14,52,50,2,8.30%,16.00%,0.215,0.352,0.318,0.377,0.532,0.385,0.372,141,-1.3,18.1,-7.1,2.4
23,Joey Votto,CIN,129,533,36,73,99,1,14.40%,23.80%,0.297,0.287,0.266,0.375,0.563,0.391,0.406,140,-1.9,25.5,-8.3,3.5
24,Nick Castellanos,CIN,138,585,34,95,100,3,7.00%,20.70%,0.267,0.34,0.309,0.362,0.576,0.391,0.374,140,0.2,30.2,-13.9,3.6
25,George Springer,TOR,78,342,22,59,50,4,10.80%,23.10%,0.291,0.286,0.264,0.352,0.555,0.381,0.361,140,0.5,17.3,-2.8,2.6
26,Bryan Reynolds,PIT,159,646,24,93,90,5,11.60%,18.40%,0.22,0.345,0.302,0.39,0.522,0.385,0.386,140,0.5,33.2,7.8,6.3
27,José Ramírez,CLE,152,636,36,111,103,27,11.30%,13.70%,0.272,0.256,0.266,0.355,0.538,0.372,0.376,140,5.7,36.6,5.7,6.4
28,Brandon Crawford,SFG,138,549,24,79,90,11,10.20%,19.10%,0.224,0.334,0.298,0.373,0.522,0.377,0.356,140,-1.6,26.1,17.5,6.2
29,Max Muncy,LAD,144,592,36,95,94,2,14.00%,20.30%,0.278,0.257,0.249,0.368,0.527,0.379,0.407,139,-1.2,28.4,-3.4,4.5
30,Giancarlo Stanton,NYY,139,579,35,64,97,0,10.90%,27.10%,0.243,0.324,0.273,0.354,0.516,0.37,0.363,138,-3.1,24,-13.5,3
31,Yordan Alvarez,HOU,144,598,33,92,104,1,8.40%,24.20%,0.253,0.32,0.277,0.346,0.531,0.369,0.386,137,-0.4,26.6,-12.5,3.5
32,AJ Pollock,LAD,117,422,21,53,69,9,7.10%,19.00%,0.24,0.326,0.297,0.355,0.536,0.375,0.359,137,0.9,20.7,-3.5,3.2
33,Brandon Lowe,TBR,149,615,39,97,99,7,11.10%,27.20%,0.277,0.28,0.247,0.34,0.523,0.363,0.36,136,1.8,29.3,-5.8,4.5
34,Austin Riley,ATL,160,662,33,91,107,0,7.90%,25.40%,0.227,0.368,0.303,0.367,0.531,0.379,0.366,136,-0.6,30,-1.4,5.1
