#,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR
1,Aaron Judge,NYY,158,704,58,122,144,10,18.90%,24.30%,0.379,0.367,0.322,0.458,0.701,0.476,0.484,218,-0.4,95,-9.9,11.2
2,Shohei Ohtani,LAD,159,731,54,134,130,59,11.10%,22.20%,0.336,0.336,0.31,0.39,0.646,0.431,0.448,181,9.8,80.7,-17.2,9.1
3,Kyle Tucker,HOU,78,339,23,56,49,11,16.50%,15.90%,0.296,0.282,0.289,0.408,0.585,0.419,0.407,180,-0.3,30.7,-1.5,4.2
4,Juan Soto,NYY,157,713,41,128,109,7,18.10%,16.70%,0.281,0.298,0.288,0.419,0.569,0.421,0.463,180,-3.8,61.1,-6.1,8.1
5,Yordan Alvarez,HOU,147,635,35,88,86,6,10.90%,15.00%,0.259,0.317,0.308,0.392,0.567,0.402,0.414,168,-2.9,46.4,-16.6,5.3
6,Bobby Witt Jr.,KCR,161,709,32,125,109,31,8.00%,15.00%,0.256,0.354,0.332,0.389,0.588,0.41,0.413,168,4.5,59.3,17.5,10.4
7,Vladimir Guerrero Jr.,TOR,159,697,30,98,103,2,10.30%,13.80%,0.221,0.342,0.323,0.396,0.544,0.398,0.41,165,-5.6,46.3,-16.7,5.5
8,Brent Rooker,OAK,145,614,39,82,112,11,9.60%,28.80%,0.269,0.362,0.293,0.365,0.562,0.392,0.383,164,0.8,45.5,-16.6,5.1
9,Kerry Carpenter,DET,87,296,18,37,57,0,7.40%,25.30%,0.303,0.328,0.284,0.345,0.587,0.39,0.385,160,-1.7,18.5,-5.5,2.4
10,Carlos Correa,MIN,86,367,14,55,54,0,10.90%,16.60%,0.207,0.343,0.31,0.388,0.517,0.385,0.359,155,-0.6,22.7,6.4,4.3
11,Matt Wallner,MIN,75,261,13,26,37,3,9.20%,36.40%,0.264,0.389,0.259,0.372,0.523,0.385,0.359,155,-0.1,16.5,-4.9,2.1
12,Gunnar Henderson,BAL,159,719,37,118,92,21,10.80%,22.10%,0.248,0.32,0.281,0.364,0.529,0.381,0.379,155,4,49,4.7,8
13,Marcell Ozuna,ATL,162,688,39,96,104,1,10.80%,24.70%,0.244,0.359,0.302,0.378,0.546,0.395,0.405,154,-4.6,39.8,-17.5,4.7
14,Christian Yelich,MIL,73,315,11,44,42,21,12.70%,18.40%,0.189,0.366,0.315,0.406,0.504,0.391,0.376,153,4.7,24.5,-5.9,3
15,Joc Pederson,ARI,132,449,23,62,64,7,12.20%,23.40%,0.24,0.322,0.275,0.393,0.515,0.391,0.381,151,-1.1,26.4,-12.6,3
16,Ketel Marte,ARI,136,583,36,93,95,7,11.10%,18.20%,0.268,0.299,0.292,0.372,0.56,0.391,0.395,151,0.9,36.6,4.8,6.3
17,Bryce Harper,PHI,145,631,30,85,87,7,12.00%,21.90%,0.24,0.331,0.285,0.373,0.525,0.38,0.361,145,-0.5,33.5,-4.3,5.2
18,Byron Buxton,MIN,102,388,18,62,56,7,5.20%,25.50%,0.245,0.338,0.279,0.335,0.524,0.366,0.358,142,2.8,21.3,1.3,3.7
19,José Ramírez,CLE,158,682,39,114,118,41,7.90%,12.00%,0.258,0.265,0.279,0.335,0.537,0.364,0.332,141,6.3,38.5,1.3,6.5
