#,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR
1,Aaron Judge,NYY,157,696,62,133,131,16,15.90%,25.10%,0.375,0.34,0.311,0.425,0.686,0.458,0.463,206,1,84.2,-0.9,11.1
2,Yordan Alvarez,HOU,135,561,37,95,97,1,13.90%,18.90%,0.306,0.32,0.306,0.406,0.613,0.427,0.46,185,-1.9,51.9,-9.2,6.4
3,Mike Trout,LAA,119,499,40,85,80,1,10.80%,27.90%,0.347,0.323,0.283,0.369,0.63,0.418,0.395,176,0,42.6,-1.3,6
4,Paul Goldschmidt,STL,151,651,35,106,115,7,12.10%,21.70%,0.26,0.368,0.317,0.404,0.578,0.419,0.367,175,0.9,58,-15.3,6.8
5,Jose Altuve,HOU,141,604,28,103,57,18,10.90%,14.40%,0.233,0.315,0.3,0.387,0.533,0.397,0.354,164,0.4,44.1,2,6.9
6,Freddie Freeman,LAD,159,708,21,117,100,13,11.90%,14.40%,0.186,0.359,0.325,0.407,0.511,0.393,0.403,157,1.7,48.9,-8.5,6.8
7,Manny Machado,SDP,150,644,32,100,102,9,9.80%,20.70%,0.234,0.337,0.298,0.366,0.531,0.382,0.338,152,-0.4,38.5,7.2,7.1
8,Nolan Arenado,STL,148,620,30,73,103,5,8.40%,11.60%,0.241,0.29,0.293,0.358,0.533,0.381,0.339,149,0.1,35.5,11.8,7.2
9,Albert Pujols,STL,109,351,24,42,68,1,8.00%,15.70%,0.28,0.252,0.27,0.345,0.55,0.38,0.365,148,-4.2,15.5,-8.5,2
10,Julio Rodríguez,SEA,132,560,28,84,75,25,7.10%,25.90%,0.225,0.345,0.284,0.345,0.509,0.366,0.337,148,3.6,33.5,3.9,5.8
11,Juan Soto,2 Tms,153,664,27,93,62,6,20.30%,14.50%,0.21,0.249,0.242,0.401,0.452,0.376,0.401,146,-2.2,33.1,-20.9,3.7
12,Yandy Díaz,TBR,137,558,9,71,57,3,14.00%,10.80%,0.127,0.323,0.296,0.401,0.423,0.366,0.365,145,-3.3,25.1,-5.9,3.9
13,Joc Pederson,SFG,134,433,23,57,70,3,9.70%,23.10%,0.247,0.31,0.274,0.353,0.521,0.373,0.367,144,0,22.3,-15,2.3
14,Mookie Betts,LAD,142,639,35,117,82,12,8.60%,16.30%,0.264,0.272,0.269,0.34,0.533,0.373,0.344,144,2.1,34.9,1.3,6.1
15,Austin Riley,ATL,159,693,38,90,93,2,8.20%,24.20%,0.255,0.315,0.273,0.349,0.528,0.377,0.378,144,-0.8,34.3,-2.2,5.9
16,Eloy Jiménez,CHW,84,327,16,40,54,0,8.60%,22.00%,0.205,0.337,0.295,0.358,0.5,0.37,0.365,143,-1.6,14.4,-8.7,1.7
17,Nathaniel Lowe,TEX,157,645,27,74,76,2,7.40%,22.80%,0.191,0.363,0.302,0.358,0.492,0.368,0.344,143,-3.2,27.8,-18.9,3.1
