#,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR
18,Trayce Thompson,2 Tms,80,255,13,36,41,4,12.50%,36.50%,0.251,0.374,0.256,0.353,0.507,0.37,0.366,142,1.2,13.7,-0.1,2.4
19,Shohei Ohtani,LAA,157,666,34,90,95,11,10.80%,24.20%,0.246,0.32,0.273,0.356,0.519,0.37,0.383,142,-1.7,29.7,-16.4,3.6
20,Andrés Giménez,CLE,146,557,17,66,69,20,6.10%,20.10%,0.169,0.353,0.297,0.371,0.466,0.364,0.326,141,3.9,29.6,11.1,6.1
21,Pete Alonso,NYM,160,685,40,95,131,5,9.80%,18.70%,0.246,0.279,0.271,0.352,0.518,0.366,0.353,141,-2.7,29.8,-17.2,3.8
22,Jeff McNeil,NYM,148,589,9,73,62,4,6.80%,10.40%,0.128,0.353,0.326,0.382,0.454,0.365,0.323,140,-0.2,27.5,5.2,5.6
23,Rafael Devers,BOS,141,614,27,84,88,3,8.10%,18.60%,0.225,0.329,0.295,0.358,0.521,0.373,0.361,140,-0.7,27,1.3,5
24,José Ramírez,CLE,157,685,29,90,126,20,10.10%,12.00%,0.235,0.279,0.28,0.355,0.514,0.363,0.32,140,3.6,34.4,0.8,6
25,William Contreras,ATL,97,376,20,51,45,2,10.40%,27.70%,0.228,0.344,0.278,0.354,0.506,0.37,0.347,139,-4.8,12.4,-5.9,2
26,Bryce Harper,PHI,99,426,18,63,65,11,10.80%,20.40%,0.227,0.324,0.286,0.364,0.514,0.369,0.38,139,1.2,20.5,-9.8,2.7
27,Carlos Correa,MIN,136,590,22,70,64,0,10.30%,20.50%,0.176,0.339,0.291,0.366,0.467,0.362,0.363,139,-3.2,22.8,2.1,4.6
28,Michael Harris II,ATL,114,441,19,75,64,20,4.80%,24.30%,0.217,0.361,0.297,0.339,0.514,0.368,0.335,137,5.1,24.3,6.2,4.8
29,José Abreu,CHW,157,679,15,85,75,0,9.10%,16.20%,0.141,0.35,0.304,0.378,0.446,0.361,0.373,137,-2.3,26.1,-11.5,3.8
30,Alex Bregman,HOU,155,656,23,93,93,1,13.30%,11.70%,0.195,0.26,0.259,0.366,0.454,0.358,0.35,137,-3.4,23.7,6.9,5.4
31,Taylor Ward,LAA,135,564,23,73,65,5,10.60%,21.30%,0.192,0.325,0.281,0.36,0.473,0.362,0.361,136,-2.6,20.5,-3.3,3.7
32,Vinnie Pasquantino,KCR,72,298,10,25,26,1,11.70%,11.40%,0.155,0.306,0.295,0.383,0.45,0.365,0.374,136,-2.1,9.9,-5.8,1.4
33,Adley Rutschman,BAL,113,470,13,70,42,4,13.80%,18.30%,0.191,0.291,0.254,0.362,0.445,0.354,0.342,135,1.4,19.9,13.1,5
34,Byron Buxton,MIN,92,382,28,61,51,6,8.90%,30.40%,0.303,0.244,0.224,0.306,0.526,0.356,0.358,135,3.2,18.1,3,3.5
35,Willson Contreras,CHC,113,487,22,65,55,4,9.20%,21.10%,0.224,0.27,0.243,0.349,0.466,0.357,0.364,134,-1.2,17.9,-1.4,3.5
36,Starling Marte,NYM,118,505,16,76,63,18,5.10%,19.20%,0.176,0.34,0.292,0.347,0.468,0.355,0.336,133,0.3,19.8,-4,3.5
37,Xander Bogaerts,BOS,150,631,15,84,73,8,9.00%,18.70%,0.149,0.362,0.307,0.377,0.456,0.363,0.323,133,3.2,26.8,10.3,6
38,George Springer,TOR,133,583,25,89,76,14,9.30%,17.20%,0.205,0.285,0.267,0.342,0.472,0.352,0.342,133,4.5,25.9,-5.1,4.1
39,Vladimir Guerrero Jr.,TOR,160,706,32,90,97,8,8.20%,16.40%,0.205,0.289,0.274,0.339,0.48,0.351,0.351,132,-1,24.6,-15.1,3.3
40,Eugenio Suárez,SEA,150,629,31,76,87,0,11.60%,31.20%,0.223,0.302,0.236,0.332,0.459,0.344,0.339,132,-1.5,21.2,0.2,4.3
41,Brandon Nimmo,NYM,151,673,16,102,64,3,10.50%,17.20%,0.159,0.317,0.274,0.367,0.433,0.353,0.338,132,2.9,27.9,0.5,5.4
42,Anthony Rizzo,NYY,130,548,32,77,75,6,10.60%,18.40%,0.256,0.216,0.224,0.338,0.48,0.352,0.349,131,-2.2,17.2,-10.9,2.5
43,Luis Arraez,MIN,144,603,8,88,49,4,8.30%,7.10%,0.104,0.331,0.316,0.375,0.42,0.35,0.333,130,-2.6,17.8,-10.9,2.7
44,Kyle Tucker,HOU,150,609,30,71,107,25,9.70%,15.60%,0.221,0.261,0.257,0.33,0.478,0.348,0.353,130,3.2,23.5,4.1,4.9
45,Teoscar Hernández,TOR,131,535,25,71,77,6,6.40%,28.40%,0.224,0.335,0.267,0.316,0.491,0.348,0.351,130,0.5,18.3,-7.5,2.9
46,Bo Bichette,TOR,159,697,24,91,93,13,5.90%,22.20%,0.179,0.347,0.29,0.333,0.469,0.347,0.334,129,0,23,1,4.8
47,Alejandro Kirk,TOR,139,541,14,59,63,0,11.60%,10.70%,0.13,0.299,0.285,0.372,0.415,0.347,0.351,129,-5.3,12.4,11.2,4.3
48,Kyle Schwarber,PHI,155,669,46,100,94,10,12.90%,29.90%,0.286,0.24,0.218,0.323,0.504,0.355,0.375,129,-1.3,21.4,-24.1,2.1
49,J.T. Realmuto,PHI,139,562,22,75,84,21,7.30%,21.20%,0.202,0.318,0.276,0.342,0.478,0.354,0.351,129,3.5,22.2,21.8,6.7
50,Trea Turner,LAD,160,708,21,101,100,27,6.40%,18.50%,0.169,0.342,0.298,0.343,0.466,0.35,0.335,128,6.6,29.6,6.8,6.4
51,Michael Brantley,HOU,64,277,5,28,26,1,11.20%,10.80%,0.128,0.311,0.288,0.37,0.416,0.345,0.374,128,-1.6,7,-5.5,1.1
52,Dylan Moore,SEA,104,255,6,41,24,21,13.30%,29.40%,0.161,0.32,0.224,0.368,0.385,0.338,0.322,127,2.4,10.3,0.7,2
53,Will Smith,LAD,137,578,24,68,87,1,9.70%,16.60%,0.205,0.276,0.26,0.343,0.465,0.349,0.349,127,-2.6,15.8,5.5,4.3
54,Brendan Donovan,STL,126,468,5,64,45,2,12.80%,15.00%,0.097,0.33,0.281,0.394,0.379,0.349,0.339,127,-2.4,12.4,-2.9,2.7
55,Ty France,SEA,140,613,20,65,83,0,5.70%,15.30%,0.162,0.296,0.274,0.338,0.436,0.337,0.321,127,-0.9,17.7,-12.1,2.6
56,Daniel Vogelbach,2 Tms,130,461,18,47,59,0,15.80%,24.70%,0.194,0.29,0.238,0.36,0.433,0.349,0.35,126,-3.7,10.1,-13.1,1.4
57,Mark Canha,NYM,140,542,13,71,61,3,8.90%,17.90%,0.136,0.309,0.266,0.367,0.403,0.343,0.323,126,-1.7,14.4,-8.4,2.6
58,Steven Kwan,CLE,147,638,6,89,52,19,9.70%,9.40%,0.101,0.323,0.298,0.373,0.4,0.341,0.312,125,6,23.9,0.8,4.7
59,Francisco Lindor,NYM,161,706,26,98,107,16,8.40%,18.80%,0.179,0.301,0.27,0.339,0.449,0.342,0.331,124,1.2,21.3,14.9,6.4
60,Austin Slater,SFG,125,325,7,49,34,12,12.30%,27.40%,0.144,0.361,0.264,0.366,0.408,0.344,0.351,124,1.7,10.9,-1.8,2.1
61,Hunter Renfroe,MIL,125,522,29,62,72,1,7.50%,23.20%,0.236,0.281,0.255,0.315,0.492,0.347,0.323,124,-1.8,12.7,-7.7,2.4
62,Josh Bell,2 Tms,156,647,17,78,71,0,12.50%,15.80%,0.156,0.296,0.266,0.362,0.422,0.344,0.349,124,-5,12.8,-14.9,2.1
63,Randy Arozarena,TBR,153,645,20,72,89,32,7.10%,24.20%,0.183,0.325,0.263,0.327,0.445,0.336,0.301,124,-1.5,15.6,-8.8,2.9
64,Oscar Gonzalez,CLE,91,382,11,39,43,1,3.90%,19.60%,0.166,0.345,0.296,0.327,0.461,0.339,0.32,123,-0.4,9.7,-8.4,1.4
65,Justin Turner,LAD,128,532,13,61,81,3,9.40%,16.70%,0.16,0.313,0.278,0.35,0.438,0.343,0.339,123,-4.2,10.3,-6.7,2.3
66,Bryan Reynolds,PIT,145,614,27,74,62,7,9.10%,23.00%,0.199,0.306,0.262,0.345,0.461,0.349,0.329,123,-1.8,14.8,-9.4,2.8
67,Brandon Drury,2 Tms,138,568,28,87,87,2,6.70%,22.20%,0.23,0.293,0.263,0.32,0.492,0.35,0.316,123,-2.8,12.4,-2.3,3.1
68,Rhys Hoskins,PHI,156,672,30,81,79,2,10.70%,25.10%,0.216,0.292,0.246,0.332,0.462,0.345,0.338,123,-2.6,15.1,-15.5,2.4
69,Lars Nootbaar,STL,108,347,14,53,40,4,14.70%,20.50%,0.221,0.248,0.228,0.34,0.448,0.342,0.346,123,0.5,9.6,2.7,2.5
70,Christian Walker,ARI,160,667,36,84,94,2,10.30%,19.60%,0.235,0.248,0.242,0.327,0.477,0.346,0.359,122,-1.7,15.6,-0.9,3.9
71,Anthony Santander,BAL,152,647,33,78,89,0,8.50%,18.90%,0.214,0.248,0.24,0.318,0.455,0.336,0.352,122,-1.7,14.5,-12.6,2.3
72,Cal Raleigh,SEA,119,415,27,46,63,1,9.20%,29.40%,0.278,0.226,0.211,0.284,0.489,0.33,0.324,122,0.7,11,15.6,4.2
73,Ian Happ,CHC,158,641,17,72,72,9,9.00%,23.20%,0.169,0.336,0.271,0.342,0.44,0.339,0.306,122,0.9,17.1,-3.5,3.7
74,Matt Olson,ATL,162,699,34,86,103,0,10.70%,24.30%,0.237,0.274,0.24,0.325,0.477,0.344,0.347,121,-1.9,15.3,-9.5,3.1
75,Travis d'Arnaud,ATL,107,426,18,61,60,0,4.50%,21.10%,0.205,0.306,0.268,0.319,0.472,0.343,0.313,121,-2,8.2,14.7,3.9
76,Andrew Benintendi,2 Tms,126,521,5,54,51,8,10.00%,14.80%,0.095,0.352,0.304,0.373,0.399,0.342,0.334,121,-2.1,10,-6.3,2.1
77,Sean Murphy,OAK,148,612,18,67,66,1,9.20%,20.30%,0.177,0.29,0.25,0.332,0.426,0.331,0.344,121,-0.8,13.3,17.3,5.2
78,J.D. Martinez,BOS,139,596,16,76,62,0,8.70%,24.30%,0.174,0.345,0.274,0.341,0.448,0.343,0.349,119,-2.9,9.9,-15,1.4
79,Seiya Suzuki,CHC,111,446,14,54,46,9,9.40%,24.70%,0.171,0.326,0.262,0.336,0.433,0.334,0.326,118,-0.4,9.1,-5.9,1.9
80,Jorge Polanco,MIN,104,445,16,54,56,3,14.40%,21.30%,0.171,0.269,0.235,0.346,0.405,0.333,0.358,118,-0.9,8.2,-5.9,1.7
81,J.D. Davis,2 Tms,115,365,12,46,35,1,10.70%,33.40%,0.17,0.36,0.248,0.34,0.418,0.333,0.351,118,-0.5,7.1,-8.4,1.2
82,Gio Urshela,MIN,144,551,13,61,64,1,7.40%,17.40%,0.144,0.326,0.285,0.338,0.429,0.332,0.323,118,-3.1,8.1,-1,2.6
83,Josh Naylor,CLE,122,498,20,47,79,6,7.60%,16.10%,0.196,0.268,0.256,0.319,0.452,0.331,0.327,118,-1.4,8.6,-6.8,1.8
84,Harold Ramírez,TBR,120,435,6,46,58,3,4.40%,16.60%,0.104,0.35,0.3,0.343,0.404,0.327,0.31,118,-1.7,7,-8.7,1.3
85,Matt Chapman,TOR,155,621,27,83,76,2,11.00%,27.40%,0.204,0.277,0.229,0.324,0.433,0.331,0.341,118,1.1,13.3,3.9,3.9
86,Dansby Swanson,ATL,162,696,25,99,96,18,7.00%,26.10%,0.17,0.348,0.277,0.329,0.447,0.337,0.337,117,3.7,17.3,22,6.6
87,Corey Seager,TEX,151,663,33,91,83,3,8.70%,15.50%,0.211,0.242,0.245,0.317,0.455,0.331,0.372,117,0.2,12.6,8.4,4.4
88,Kolten Wong,MIL,134,497,15,65,47,17,9.30%,17.70%,0.179,0.28,0.251,0.339,0.43,0.336,0.305,117,2.2,11.8,-6.6,2.3
89,Jake McCarthy,ARI,99,354,8,53,43,23,6.50%,21.50%,0.143,0.349,0.283,0.342,0.427,0.337,0.298,116,6.7,13.3,-4.3,2.2
90,Jose Miranda,MIN,125,483,15,45,66,1,5.80%,18.80%,0.158,0.307,0.268,0.325,0.426,0.329,0.317,116,-1.5,7,-9,1.4
91,Ronald Acuña Jr.,ATL,119,533,15,71,50,29,9.90%,23.60%,0.148,0.331,0.266,0.351,0.413,0.335,0.366,115,3.7,13.2,-8.6,2.4
92,DJ LeMahieu,NYY,125,541,12,74,46,4,12.40%,13.10%,0.116,0.285,0.261,0.357,0.377,0.329,0.344,115,-2.5,6.8,5.1,3.1
93,Keston Hiura,MIL,80,266,14,34,32,5,8.60%,41.70%,0.222,0.355,0.226,0.316,0.449,0.334,0.317,115,-1,3.7,-6.7,0.7
94,Wander Franco,TBR,83,344,6,46,33,8,7.60%,9.60%,0.14,0.29,0.277,0.328,0.417,0.323,0.331,115,2.4,8.2,2.3,2.2
95,Seth Brown,OAK,150,555,25,55,73,11,9.20%,26.30%,0.214,0.273,0.23,0.305,0.444,0.323,0.338,115,0.9,10.2,-12.4,1.6
96,Evan Longoria,SFG,89,298,14,31,42,0,9.10%,27.90%,0.207,0.297,0.244,0.315,0.451,0.33,0.324,115,-2,3.1,0,1.4
97,Isaac Paredes,TBR,111,381,20,48,45,0,11.50%,17.60%,0.23,0.195,0.205,0.304,0.435,0.323,0.297,115,-0.5,5.8,4.7,2.4
98,Lourdes Gurriel Jr.,TOR,121,493,5,52,52,3,6.30%,16.80%,0.108,0.346,0.291,0.343,0.4,0.327,0.321,115,-3.1,5,-5.6,1.6
99,Chas McCormick,HOU,119,407,14,47,44,4,11.30%,26.00%,0.162,0.308,0.245,0.332,0.407,0.326,0.325,115,-1.7,4.9,3.6,2.2
100,Gleyber Torres,NYY,140,572,24,73,76,10,6.80%,22.60%,0.194,0.295,0.257,0.31,0.451,0.328,0.319,114,-2.2,7.1,0,2.6
101,Ji Man Choi,TBR,113,419,11,36,52,0,13.80%,29.40%,0.154,0.32,0.233,0.341,0.388,0.322,0.337,114,-4.3,2.4,-5.7,1
102,Giancarlo Stanton,NYY,110,452,31,53,78,0,11.10%,30.30%,0.251,0.227,0.211,0.297,0.462,0.327,0.35,113,-1.7,5.2,-8.9,1.1
103,Gavin Lux,LAD,129,471,6,66,42,7,10.00%,20.20%,0.124,0.341,0.276,0.346,0.399,0.328,0.314,113,0.9,8.3,1.1,2.7
104,Andrew Vaughn,CHW,134,555,17,60,76,0,5.60%,17.30%,0.159,0.301,0.271,0.321,0.429,0.327,0.319,113,-3.6,4.4,-26.8,-0.5
105,Adolis García,TEX,156,657,27,88,101,25,6.10%,27.90%,0.207,0.309,0.25,0.3,0.456,0.324,0.322,112,4.6,13.3,-4.1,3.1
106,Eric Haase,DET,110,351,14,41,44,0,6.80%,27.60%,0.189,0.316,0.254,0.305,0.443,0.322,0.302,111,-0.6,3.9,-3.5,1.2
107,Luis Robert Jr.,CHW,98,401,12,54,56,11,4.20%,19.20%,0.142,0.329,0.284,0.319,0.426,0.324,0.327,111,1.7,6.7,1.5,2.2
108,Christian Yelich,MIL,154,671,14,99,57,19,13.10%,24.10%,0.13,0.327,0.252,0.355,0.383,0.328,0.338,111,3.2,11.7,-14.3,2.1
109,Rowdy Tellez,MIL,153,599,35,67,89,2,10.40%,20.20%,0.242,0.215,0.219,0.306,0.461,0.327,0.349,110,-4.9,2.4,-13,1.1
110,Luis Urías,MIL,119,472,16,54,47,1,10.60%,21.00%,0.165,0.274,0.239,0.335,0.404,0.327,0.326,110,-0.5,5.2,1.2,2.4
111,Garrett Cooper,MIA,119,469,9,37,50,0,8.50%,25.40%,0.155,0.34,0.261,0.337,0.415,0.33,0.341,110,-1.6,4,-8.6,1.2
112,Christopher Morel,CHC,113,425,16,55,47,10,8.90%,32.20%,0.198,0.32,0.235,0.308,0.433,0.322,0.321,110,1.8,6.9,-5.6,1.7
113,Tim Anderson,CHW,79,351,6,50,25,13,4.00%,15.70%,0.093,0.347,0.301,0.339,0.395,0.323,0.336,110,4.1,8.1,2.2,2.2
114,Nick Gordon,MIN,138,443,9,45,50,6,4.30%,23.70%,0.156,0.34,0.272,0.316,0.427,0.321,0.333,110,0,5,-3.6,1.6
115,Jurickson Profar,SDP,152,658,15,82,58,5,11.10%,15.70%,0.148,0.272,0.243,0.331,0.391,0.32,0.315,110,-0.4,7.2,-6.8,2.4
116,Jesse Winker,SEA,136,547,14,51,53,0,15.40%,18.80%,0.125,0.251,0.219,0.344,0.344,0.313,0.345,110,-3.5,2.5,-13.4,0.7
117,Willy Adames,MIL,139,617,31,83,98,8,7.90%,26.90%,0.22,0.278,0.238,0.298,0.458,0.325,0.323,109,1.1,7.5,13.5,4.4
118,Jake Cronenworth,SDP,158,684,17,88,88,3,10.20%,19.20%,0.152,0.275,0.239,0.332,0.39,0.318,0.303,109,1.7,8.5,2.7,3.7
119,Josh Rojas,ARI,125,510,9,66,56,23,10.80%,19.20%,0.122,0.323,0.269,0.349,0.391,0.326,0.305,109,3.8,8.8,-2.3,2.5
120,Ryan Mountcastle,BAL,145,609,22,62,85,4,7.10%,25.30%,0.173,0.303,0.25,0.305,0.423,0.316,0.362,108,0.3,6,-8.5,1.8
121,Nico Hoerner,CHC,135,517,10,60,55,20,5.40%,11.00%,0.129,0.3,0.281,0.327,0.41,0.32,0.301,108,3.3,8.3,14.6,4.3
122,Cedric Mullins,BAL,156,672,16,89,64,34,7.00%,18.80%,0.145,0.299,0.258,0.318,0.403,0.315,0.288,108,1.8,7.7,5.8,3.6
123,Salvador Perez,KCR,114,473,23,48,76,0,3.80%,23.00%,0.211,0.285,0.254,0.292,0.465,0.324,0.323,107,-2.3,1.4,-9.1,0.8
124,Juan Yepez,STL,76,274,12,27,30,0,5.80%,22.30%,0.194,0.283,0.253,0.296,0.447,0.319,0.286,107,-2.1,0.2,-9.1,0
125,Austin Hays,BAL,145,582,16,66,60,2,5.80%,19.60%,0.163,0.289,0.25,0.306,0.413,0.314,0.298,107,-0.3,4.3,-6.1,1.7
126,Marcus Semien,TEX,161,724,26,101,83,25,7.30%,16.60%,0.181,0.263,0.248,0.304,0.429,0.317,0.306,107,5.9,11.3,7.3,4.4
127,Ramón Urías,BAL,118,445,16,50,51,1,6.70%,22.00%,0.166,0.287,0.248,0.305,0.414,0.313,0.32,106,1.2,4.4,6.8,2.7
128,Max Muncy,LAD,136,565,21,69,69,2,15.90%,25.00%,0.188,0.227,0.196,0.329,0.384,0.318,0.339,106,-0.5,3.7,-3.8,2
129,Daulton Varsho,ARI,151,592,27,79,74,16,7.80%,24.50%,0.207,0.269,0.235,0.302,0.443,0.323,0.298,106,2.2,6.5,14.6,4.4
130,Thairo Estrada,SFG,140,541,14,71,62,21,6.10%,16.50%,0.139,0.29,0.26,0.322,0.4,0.317,0.299,106,1.3,5.3,2.5,2.8
131,Patrick Wisdom,CHC,134,534,25,67,66,8,9.90%,34.30%,0.22,0.274,0.207,0.298,0.426,0.316,0.295,106,0.4,4.2,-11,1.2
132,Tommy Edman,STL,153,630,13,95,57,32,7.30%,17.60%,0.135,0.308,0.265,0.324,0.4,0.318,0.308,106,7.2,11.5,17.7,5.3
133,Trey Mancini,2 Tms,143,587,18,56,63,0,9.00%,23.00%,0.152,0.286,0.239,0.319,0.391,0.312,0.327,105,-2.3,1.3,-11,0.9
134,Jean Segura,PHI,98,387,10,45,33,13,6.50%,15.00%,0.11,0.307,0.277,0.336,0.387,0.32,0.303,105,0.4,2.8,3.9,2.1
135,Ha-Seong Kim,SDP,150,582,11,58,59,12,8.80%,17.20%,0.132,0.29,0.251,0.325,0.383,0.313,0.309,105,1.6,4.9,9.8,3.6
136,J.P. Crawford,SEA,145,603,6,57,42,3,11.30%,13.30%,0.093,0.275,0.243,0.339,0.336,0.306,0.315,105,0.8,4.1,-2.1,2.2
137,Nolan Gorman,STL,89,313,14,44,35,1,8.90%,32.90%,0.194,0.301,0.226,0.3,0.42,0.316,0.341,105,-2,-0.3,-10.1,0
138,Manuel Margot,TBR,89,363,4,36,47,7,6.60%,18.70%,0.101,0.332,0.274,0.325,0.375,0.308,0.299,104,2.9,4.7,-4.2,1.3
139,Eric Hosmer,2 Tms,104,419,8,38,44,0,8.80%,15.30%,0.113,0.304,0.268,0.334,0.382,0.313,0.311,104,-2.6,-0.6,-7.9,0.6
140,Elvis Andrus,2 Tms,149,577,17,66,58,18,6.80%,15.90%,0.155,0.272,0.249,0.303,0.404,0.31,0.293,104,4.1,6.7,7.7,3.4
141,Oneil Cruz,PIT,87,361,17,45,54,10,7.80%,34.90%,0.218,0.317,0.233,0.294,0.45,0.32,0.301,104,3.4,4.9,-4,1.4
142,Luis Guillorme,NYM,102,335,2,33,17,1,10.10%,13.70%,0.067,0.317,0.273,0.351,0.34,0.311,0.302,104,-2,-0.5,5.8,1.8
143,Eduardo Escobar,NYM,136,542,20,58,69,0,7.40%,23.80%,0.19,0.281,0.24,0.295,0.43,0.311,0.314,104,0.1,2.4,-3.2,1.9
144,Amed Rosario,CLE,153,670,11,86,71,18,3.70%,16.60%,0.121,0.326,0.283,0.312,0.403,0.311,0.31,104,5.4,8.1,-0.4,3
145,David Peralta,2 Tms,134,490,12,39,59,1,8.40%,23.30%,0.164,0.307,0.251,0.316,0.415,0.315,0.313,104,0.4,2.6,-3.1,1.7
146,Wil Myers,SDP,77,286,7,29,41,2,7.30%,30.10%,0.138,0.357,0.261,0.315,0.398,0.311,0.288,103,0.7,1.9,-0.4,1.2
147,Yadiel Hernandez,WSN,94,327,9,30,41,2,5.80%,22.60%,0.141,0.326,0.269,0.312,0.41,0.315,0.313,103,-3.7,-2.5,-7.5,0.1
148,C.J. Cron,COL,150,632,29,79,102,0,6.80%,25.90%,0.21,0.307,0.257,0.315,0.468,0.335,0.32,103,-0.5,1.7,-10.6,1.3
149,Wilmer Flores,SFG,151,602,19,72,71,0,9.80%,17.10%,0.166,0.246,0.229,0.316,0.394,0.312,0.31,103,-4,-1.9,-6.4,1.3
150,Brandon Lowe,TBR,65,266,8,31,25,1,10.20%,22.90%,0.162,0.263,0.221,0.308,0.383,0.306,0.32,103,0,0.8,-3.5,0.6
151,Luke Voit,2 Tms,135,568,22,55,69,1,9.70%,31.50%,0.176,0.298,0.226,0.308,0.402,0.311,0.322,103,-4.9,-3.2,-12.3,0.4
152,Jeremy Peña,HOU,136,558,22,72,63,11,3.90%,24.20%,0.173,0.298,0.253,0.289,0.426,0.309,0.304,102,2.2,3.8,10.1,3.3
153,Ketel Marte,ARI,137,558,12,68,52,5,9.90%,18.10%,0.167,0.276,0.24,0.321,0.407,0.317,0.315,102,1.6,3.2,-5.2,1.8
154,Luis Rengifo,LAA,127,511,17,45,52,6,3.30%,15.50%,0.166,0.285,0.264,0.294,0.429,0.314,0.296,102,2.4,3.8,-4,1.7
155,Alex Verdugo,BOS,152,644,11,75,74,1,6.50%,13.40%,0.125,0.309,0.28,0.328,0.405,0.319,0.329,102,-2.3,-0.6,-9.5,1.1
156,Carlos Santana,2 Tms,131,506,19,52,60,0,14.00%,17.40%,0.174,0.209,0.202,0.316,0.376,0.308,0.352,102,-0.7,0.4,-8.1,0.9
157,Christian Arroyo,BOS,87,300,6,32,36,5,4.30%,16.30%,0.129,0.326,0.286,0.322,0.414,0.319,0.33,102,-1.4,-0.8,-6,0.3
158,Tyrone Taylor,MIL,120,405,17,49,51,3,5.40%,25.20%,0.209,0.272,0.233,0.286,0.442,0.314,0.307,102,1.6,2.5,3.1,2
159,TJ Friedl,CIN,72,258,8,33,25,7,7.80%,15.50%,0.196,0.251,0.24,0.314,0.436,0.323,0.283,102,0.6,1.1,-3.7,0.7
160,Rodolfo Castro,PIT,71,278,11,25,27,5,7.90%,26.60%,0.194,0.284,0.233,0.299,0.427,0.315,0.28,100,0.5,0.6,-1.8,0.9
161,Trevor Story,BOS,94,396,16,53,66,13,8.10%,30.80%,0.196,0.309,0.238,0.303,0.434,0.316,0.301,100,3,3,8.6,2.5
162,Santiago Espinal,TOR,135,491,7,51,51,6,7.30%,13.80%,0.102,0.3,0.267,0.322,0.37,0.305,0.298,100,-1.1,-1.3,8.3,2.4
163,Gavin Sheets,CHW,124,410,15,34,53,0,6.60%,21.00%,0.17,0.272,0.241,0.295,0.411,0.308,0.283,99,-1.3,-1.5,-9.8,0.2
164,Christian Vázquez,2 Tms,119,426,9,41,52,1,5.20%,16.20%,0.126,0.31,0.274,0.315,0.399,0.312,0.301,99,-5.7,-6.1,10.7,1.9
165,Christian Bethancourt,2 Tms,101,333,11,39,34,5,3.60%,24.00%,0.157,0.304,0.252,0.283,0.409,0.301,0.318,99,-0.2,-0.5,6.4,1.7
166,Mike Yastrzemski,SFG,148,558,17,73,57,5,10.90%,25.30%,0.177,0.261,0.214,0.305,0.392,0.307,0.314,99,0.8,0.2,-5,1.5
